shape,scale,age_dx,sexM,smokingY,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o
0.0000579,-0.0003579,0.0000010,-0.0000003,0.0000370,0.0000240,-0.0000062,-0.0000094,-0.0000008,0.0000223,0.0000117,-0.0000080,-0.0000048,-0.0000006,0.0000239,0.0000276,0.0000069,0.0000063,0.0000146,0.0000073,0.0000147,0.0000064,-0.0000029,-0.0000102
-0.0003579,0.0271439,-0.0002342,-0.0007893,-0.0044954,0.0005178,0.0004676,0.0005573,-0.0003095,-0.0017159,0.0004186,-0.0014354,-0.0012500,0.0007072,-0.0012679,-0.0010921,-0.0044353,-0.0043870,-0.0044765,-0.0046923,-0.0000977,0.0001689,-0.0000033,0.0001650
0.0000010,-0.0002342,0.0000033,0.0000027,0.0000169,-0.0000153,-0.0000077,-0.0000143,0.0000034,0.0000109,-0.0000107,0.0000204,0.0000108,-0.0000258,0.0000025,0.0000026,0.0000022,0.0000022,0.0000036,0.0000072,0.0000000,-0.0000027,0.0000002,-0.0000022
-0.0000003,-0.0007893,0.0000027,0.0018522,-0.0004051,-0.0001173,-0.0002150,-0.0001392,-0.0000894,0.0002690,0.0000661,0.0001363,0.0002296,0.0000595,-0.0000040,-0.0000604,0.0000445,0.0000996,0.0001418,0.0001642,-0.0000088,0.0000216,0.0000014,-0.0000150
0.0000370,-0.0044954,0.0000169,-0.0004051,0.0037680,0.0002552,-0.0000157,0.0000094,-0.0000102,0.0002518,0.0001417,-0.0001310,0.0000086,0.0000782,0.0000052,0.0000207,0.0001132,-0.0000039,0.0000052,-0.0000472,0.0000158,-0.0000735,0.0000002,-0.0000081
0.0000240,0.0005178,-0.0000153,-0.0001173,0.0002552,0.0039859,-0.0007771,0.0001035,-0.0004137,0.0000813,-0.0003513,0.0000206,0.0000106,-0.0002041,0.0000358,0.0000615,0.0001061,0.0000887,0.0000909,0.0000673,0.0000334,-0.0000939,-0.0000038,-0.0000459
-0.0000062,0.0004676,-0.0000077,-0.0002150,-0.0000157,-0.0007771,0.0028864,-0.0000010,-0.0001633,0.0000100,0.0000823,-0.0001325,-0.0000312,-0.0002753,-0.0000425,0.0000251,-0.0000639,-0.0000778,-0.0000670,-0.0000636,0.0000269,-0.0000469,-0.0000020,-0.0000412
-0.0000094,0.0005573,-0.0000143,-0.0001392,0.0000094,0.0001035,-0.0000010,0.0038837,-0.0001541,0.0000413,0.0000571,-0.0000633,-0.0001450,-0.0000251,-0.0000176,0.0000511,0.0000632,0.0000824,0.0000865,0.0001052,0.0000123,-0.0000150,0.0000024,-0.0000328
-0.0000008,-0.0003095,0.0000034,-0.0000894,-0.0000102,-0.0004137,-0.0001633,-0.0001541,0.0027529,-0.0000673,-0.0002163,-0.0000290,0.0000435,-0.0004108,0.0000442,0.0000310,-0.0000942,-0.0000625,-0.0000635,-0.0001067,0.0000243,-0.0000339,-0.0000026,-0.0000413
0.0000223,-0.0017159,0.0000109,0.0002690,0.0002518,0.0000813,0.0000100,0.0000413,-0.0000673,0.0023632,-0.0000116,-0.0000145,-0.0001051,-0.0000279,0.0000388,0.0001475,0.0000019,0.0000578,-0.0000170,-0.0000159,-0.0000091,-0.0000229,-0.0000072,-0.0000054
0.0000117,0.0004186,-0.0000107,0.0000661,0.0001417,-0.0003513,0.0000823,0.0000571,-0.0002163,-0.0000116,0.0117292,-0.0039849,-0.0006184,-0.0000894,0.0000370,0.0000067,0.0000093,0.0000449,0.0001492,0.0000798,0.0000411,-0.0001144,-0.0000008,0.0000170
-0.0000080,-0.0014354,0.0000204,0.0001363,-0.0001310,0.0000206,-0.0001325,-0.0000633,-0.0000290,-0.0000145,-0.0039849,0.0096538,-0.0007029,-0.0000864,-0.0000088,0.0000421,0.0001142,0.0000021,0.0000734,0.0000171,0.0000062,0.0000028,-0.0000078,-0.0000376
-0.0000048,-0.0012500,0.0000108,0.0002296,0.0000086,0.0000106,-0.0000312,-0.0001450,0.0000435,-0.0001051,-0.0006184,-0.0007029,0.0028104,-0.0000266,0.0000830,0.0001078,-0.0000516,-0.0000140,-0.0000885,-0.0000345,0.0000091,-0.0000005,-0.0000140,0.0000068
-0.0000006,0.0007072,-0.0000258,0.0000595,0.0000782,-0.0002041,-0.0002753,-0.0000251,-0.0004108,-0.0000279,-0.0000894,-0.0000864,-0.0000266,0.0021334,-0.0000091,-0.0000543,-0.0000194,0.0000619,-0.0000034,-0.0000255,0.0000159,0.0000133,0.0000005,-0.0000236
0.0000239,-0.0012679,0.0000025,-0.0000040,0.0000052,0.0000358,-0.0000425,-0.0000176,0.0000442,0.0000388,0.0000370,-0.0000088,0.0000830,-0.0000091,0.0022647,0.0012981,-0.0003137,-0.0003716,-0.0003231,-0.0002342,-0.0000047,0.0000349,-0.0000047,-0.0000015
0.0000276,-0.0010921,0.0000026,-0.0000604,0.0000207,0.0000615,0.0000251,0.0000511,0.0000310,0.0001475,0.0000067,0.0000421,0.0001078,-0.0000543,0.0012981,0.0032135,-0.0003413,-0.0004733,-0.0006522,-0.0004720,-0.0000499,0.0000815,-0.0000187,0.0000081
0.0000069,-0.0044353,0.0000022,0.0000445,0.0001132,0.0001061,-0.0000639,0.0000632,-0.0000942,0.0000019,0.0000093,0.0001142,-0.0000516,-0.0000194,-0.0003137,-0.0003413,0.0070616,0.0043957,0.0044155,0.0043932,0.0000040,-0.0000222,-0.0000008,-0.0000001
0.0000063,-0.0043870,0.0000022,0.0000996,-0.0000039,0.0000887,-0.0000778,0.0000824,-0.0000625,0.0000578,0.0000449,0.0000021,-0.0000140,0.0000619,-0.0003716,-0.0004733,0.0043957,0.0064912,0.0044484,0.0044189,-0.0000073,-0.0000095,0.0000019,-0.0000112
0.0000146,-0.0044765,0.0000036,0.0001418,0.0000052,0.0000909,-0.0000670,0.0000865,-0.0000635,-0.0000170,0.0001492,0.0000734,-0.0000885,-0.0000034,-0.0003231,-0.0006522,0.0044155,0.0044484,0.0060652,0.0044698,-0.0000139,-0.0000116,-0.0000022,0.0000031
0.0000073,-0.0046923,0.0000072,0.0001642,-0.0000472,0.0000673,-0.0000636,0.0001052,-0.0001067,-0.0000159,0.0000798,0.0000171,-0.0000345,-0.0000255,-0.0002342,-0.0004720,0.0043932,0.0044189,0.0044698,0.0059628,0.0000046,-0.0000137,-0.0000058,-0.0000124
0.0000147,-0.0000977,0.0000000,-0.0000088,0.0000158,0.0000334,0.0000269,0.0000123,0.0000243,-0.0000091,0.0000411,0.0000062,0.0000091,0.0000159,-0.0000047,-0.0000499,0.0000040,-0.0000073,-0.0000139,0.0000046,0.0001074,-0.0001032,-0.0000129,0.0000220
