shape,scale,age_dx,sexM,smokingY,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o
0.000007560,0.000000460,-0.000000030,0.000000140,-0.000000510,0.000001040,0.000000660,0.000000480,0.000000450,0.000000280,0.000000050,0.000000220,0.000000830,0.000000560,0.000000360,0.000001680,0.000000150,0.000000700,0.000000840,0.000001230,-0.000000360,-0.000000230,0.000000050,0.000000130
0.000000460,0.002339720,-0.000022050,-0.000096090,-0.000359350,0.000078040,0.000047380,0.000057780,-0.000026070,-0.000170360,0.000018540,-0.000123290,-0.000133900,0.000072290,-0.000104390,-0.000072640,-0.000435110,-0.000433850,-0.000439260,-0.000468480,-0.000000780,0.000021970,0.000000020,-0.000001910
-0.000000030,-0.000022050,0.000000320,0.000000420,0.000001610,-0.000001620,-0.000000880,-0.000001430,0.000000250,0.000001230,-0.000000520,0.000001840,0.000001100,-0.000002670,0.000000160,0.000000070,0.000000010,0.000000110,0.000000180,0.000000590,0.000000000,-0.000000290,0.000000000,-0.000000010
0.000000140,-0.000096090,0.000000420,0.000191010,-0.000039580,-0.000009200,-0.000024900,-0.000010690,-0.000009010,0.000027830,0.000001860,0.000008310,0.000024660,0.000004490,-0.000001180,-0.000006150,0.000006650,0.000014660,0.000018110,0.000024130,-0.000001080,0.000002070,0.000000220,-0.000001790
-0.000000510,-0.000359350,0.000001610,-0.000039580,0.000322150,0.000018410,-0.000000040,-0.000001890,0.000000610,0.000025000,0.000012630,-0.000018510,0.000000840,0.000006580,-0.000003000,-0.000002500,0.000007150,-0.000005800,-0.000003650,-0.000007930,0.000000730,-0.000008000,-0.000000100,-0.000000130
0.000001040,0.000078040,-0.000001620,-0.000009200,0.000018410,0.000433310,-0.000079620,0.000002810,-0.000040140,0.000011320,-0.000035900,0.000000680,0.000001350,-0.000019610,0.000005260,0.000008670,0.000005860,-0.000000610,0.000005760,0.000001010,0.000000440,-0.000012840,0.000000100,-0.000003640
0.000000660,0.000047380,-0.000000880,-0.000024900,-0.000000040,-0.000079620,0.000286560,0.000002910,-0.000019550,-0.000002720,0.000006990,-0.000009740,-0.000005770,-0.000033000,-0.000004100,0.000000680,0.000000010,-0.000003390,-0.000002560,-0.000003790,0.000002480,-0.000008730,0.000000100,-0.000001390
0.000000480,0.000057780,-0.000001430,-0.000010690,-0.000001890,0.000002810,0.000002910,0.000368130,-0.000009480,0.000002100,0.000000540,-0.000008310,-0.000010370,-0.000007280,0.000001150,0.000005190,0.000000030,-0.000000900,0.000000760,0.000003210,0.000003060,-0.000002890,0.000000150,-0.000002570
0.000000450,-0.000026070,0.000000250,-0.000009010,0.000000610,-0.000040140,-0.000019550,-0.000009480,0.000266290,-0.000010470,-0.000008280,-0.000012450,0.000007050,-0.000044080,0.000003200,0.000001540,-0.000003430,-0.000002510,-0.000007890,-0.000012990,0.000002880,-0.000005800,-0.000000540,-0.000000330
0.000000280,-0.000170360,0.000001230,0.000027830,0.000025000,0.000011320,-0.000002720,0.000002100,-0.000010470,0.000253940,0.000004920,-0.000003860,-0.000010430,-0.000004030,0.000004380,0.000012230,-0.000000230,0.000007170,-0.000000450,-0.000000160,-0.000004780,-0.000003560,0.000000230,-0.000000200
