shape,scale,age_dx,sexM,smokingY,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o
0.0000970,-0.0005014,-0.0000005,0.0000371,-0.0000027,-0.0000178,0.0000096,0.0000685,0.0000114,-0.0000181,-0.0000377,-0.0000162,-0.0000279,0.0000291,0.0000140,0.0000236,0.0000002,-0.0000003,-0.0000225,-0.0000218,-0.0000287,-0.0000046,-0.0000101,0.0000284
-0.0005014,0.0398249,-0.0003616,-0.0017700,-0.0059277,0.0011119,0.0008581,0.0005601,-0.0003370,-0.0026239,0.0013663,-0.0019932,-0.0019399,0.0009751,-0.0016865,-0.0013435,-0.0056940,-0.0057860,-0.0057425,-0.0061961,0.0002923,0.0005702,0.0000089,-0.0001450
-0.0000005,-0.0003616,0.0000053,0.0000059,0.0000269,-0.0000216,-0.0000157,-0.0000234,0.0000018,0.0000197,-0.0000211,0.0000299,0.0000168,-0.0000439,0.0000027,0.0000030,-0.0000008,0.0000027,0.0000030,0.0000100,-0.0000023,-0.0000069,0.0000006,-0.0000011
0.0000371,-0.0017700,0.0000059,0.0030325,-0.0006572,-0.0001161,-0.0003821,-0.0001584,-0.0001252,0.0004277,-0.0000789,0.0001288,0.0004193,0.0001158,-0.0000224,-0.0001237,0.0001068,0.0001908,0.0002627,0.0003407,-0.0000081,0.0000108,0.0000016,-0.0000163
-0.0000027,-0.0059277,0.0000269,-0.0006572,0.0053094,0.0003030,-0.0000207,-0.0000304,-0.0000073,0.0003914,0.0001719,-0.0003215,-0.0000064,0.0000756,-0.0000343,-0.0000688,0.0001061,-0.0000395,-0.0000216,-0.0000785,-0.0000245,-0.0001700,0.0000042,-0.0000082
-0.0000178,0.0011119,-0.0000216,-0.0001161,0.0003030,0.0070834,-0.0013023,-0.0000174,-0.0006717,0.0000935,-0.0005784,-0.0000294,0.0000147,-0.0002969,0.0000593,0.0000874,0.0000926,0.0000092,0.0001255,0.0000712,0.0000051,-0.0002924,0.0000075,-0.0000421
0.0000096,0.0008581,-0.0000157,-0.0003821,-0.0000207,-0.0013023,0.0045045,0.0000270,-0.0002649,0.0000025,0.0003576,-0.0001427,-0.0000905,-0.0005043,-0.0000740,-0.0000328,-0.0000144,-0.0001059,-0.0000760,-0.0001056,0.0000727,-0.0002126,-0.0000001,-0.0000134
0.0000685,0.0005601,-0.0000234,-0.0001584,-0.0000304,-0.0000174,0.0000270,0.0047369,-0.0001158,-0.0000110,0.0000182,-0.0002265,-0.0002091,-0.0000819,0.0000544,0.0000967,-0.0000091,-0.0000478,0.0000073,-0.0000005,0.0000629,-0.0000915,-0.0000050,0.0000001
0.0000114,-0.0003370,0.0000018,-0.0001252,-0.0000073,-0.0006717,-0.0002649,-0.0001158,0.0041914,-0.0001224,-0.0000273,0.0000107,0.0000804,-0.0006879,0.0000840,0.0000079,-0.0000823,-0.0001244,-0.0002015,-0.0002495,0.0000059,-0.0000974,-0.0000029,-0.0000144
-0.0000181,-0.0026239,0.0000197,0.0004277,0.0003914,0.0000935,0.0000025,-0.0000110,-0.0001224,0.0047386,0.0001304,-0.0000555,-0.0001347,-0.0000799,0.0001395,0.0002512,-0.0000418,0.0000309,0.0000208,-0.0000150,-0.0001276,-0.0000271,-0.0000116,0.0000297
-0.0000377,0.0013663,-0.0000211,-0.0000789,0.0001719,-0.0005784,0.0003576,0.0000182,-0.0000273,0.0001304,0.0246635,-0.0075712,-0.0010544,-0.0001424,-0.0000349,-0.0000620,0.0003041,0.0000757,0.0004067,0.0003277,0.0001512,-0.0000535,-0.0000196,-0.0001651
-0.0000162,-0.0019932,0.0000299,0.0001288,-0.0003215,-0.0000294,-0.0001427,-0.0002265,0.0000107,-0.0000555,-0.0075712,0.0175612,-0.0012451,-0.0000023,-0.0000270,0.0001151,0.0002157,0.0000729,0.0001919,0.0001140,0.0000240,0.0000917,-0.0000375,-0.0000657
-0.0000279,-0.0019399,0.0000168,0.0004193,-0.0000064,0.0000147,-0.0000905,-0.0002091,0.0000804,-0.0001347,-0.0010544,-0.0012451,0.0050516,-0.0000573,0.0001647,0.0002578,-0.0000265,0.0000343,-0.0000406,-0.0000632,-0.0000096,0.0000555,-0.0000269,0.0000121
0.0000291,0.0009751,-0.0000439,0.0001158,0.0000756,-0.0002969,-0.0005043,-0.0000819,-0.0006879,-0.0000799,-0.0001424,-0.0000023,-0.0000573,0.0036431,0.0000392,-0.0000686,-0.0000470,0.0000058,-0.0000671,-0.0000934,0.0000232,-0.0000172,-0.0000033,0.0000093
0.0000140,-0.0016865,0.0000027,-0.0000224,-0.0000343,0.0000593,-0.0000740,0.0000544,0.0000840,0.0001395,-0.0000349,-0.0000270,0.0001647,0.0000392,0.0035336,0.0018879,-0.0004603,-0.0005320,-0.0004626,-0.0002847,-0.0001065,0.0000514,-0.0000112,0.0000116
0.0000236,-0.0013435,0.0000030,-0.0001237,-0.0000688,0.0000874,-0.0000328,0.0000967,0.0000079,0.0002512,-0.0000620,0.0001151,0.0002578,-0.0000686,0.0018879,0.0055466,-0.0005842,-0.0006879,-0.0009578,-0.0007491,-0.0002187,0.0001302,-0.0000528,0.0000915
0.0000002,-0.0056940,-0.0000008,0.0001068,0.0001061,0.0000926,-0.0000144,-0.0000091,-0.0000823,-0.0000418,0.0003041,0.0002157,-0.0000265,-0.0000470,-0.0004603,-0.0005842,0.0099368,0.0059033,0.0059521,0.0058977,-0.0000146,-0.0000596,-0.0000063,0.0000735
-0.0000003,-0.0057860,0.0000027,0.0001908,-0.0000395,0.0000092,-0.0001059,-0.0000478,-0.0001244,0.0000309,0.0000757,0.0000729,0.0000343,0.0000058,-0.0005320,-0.0006879,0.0059033,0.0090852,0.0059675,0.0059232,-0.0000343,-0.0000141,-0.0000125,0.0000769
-0.0000225,-0.0057425,0.0000030,0.0002627,-0.0000216,0.0001255,-0.0000760,0.0000073,-0.0002015,0.0000208,0.0004067,0.0001919,-0.0000406,-0.0000671,-0.0004626,-0.0009578,0.0059521,0.0059675,0.0090971,0.0060109,-0.0000672,-0.0000151,-0.0000120,0.0000785
-0.0000218,-0.0061961,0.0000100,0.0003407,-0.0000785,0.0000712,-0.0001056,-0.0000005,-0.0002495,-0.0000150,0.0003277,0.0001140,-0.0000632,-0.0000934,-0.0002847,-0.0007491,0.0058977,0.0059232,0.0060109,0.0086282,-0.0000320,-0.0000675,-0.0000183,0.0000772
-0.0000287,0.0002923,-0.0000023,-0.0000081,-0.0000245,0.0000051,0.0000727,0.0000629,0.0000059,-0.0001276,0.0001512,0.0000240,-0.0000096,0.0000232,-0.0001065,-0.0002187,-0.0000146,-0.0000343,-0.0000672,-0.0000320,0.0007938,-0.0004427,-0.0000282,0.0000498
-0.0000046,0.0005702,-0.0000069,0.0000108,-0.0001700,-0.0002924,-0.0002126,-0.0000915,-0.0000974,-0.0000271,-0.0000535,0.0000917,0.0000555,-0.0000172,0.0000514,0.0001302,-0.0000596,-0.0000141,-0.0000151,-0.0000675,-0.0004427,0.0011724,-0.0000034,-0.0000385
-0.0000101,0.0000089,0.0000006,0.0000016,0.0000042,0.0000075,-0.0000001,-0.0000050,-0.0000029,-0.0000116,-0.0000196,-0.0000375,-0.0000269,-0.0000033,-0.0000112,-0.0000528,-0.0000063,-0.0000125,-0.0000120,-0.0000183,-0.0000282,-0.0000034,0.0000263,-0.0000500
0.0000284,-0.0001450,-0.0000011,-0.0000163,-0.0000082,-0.0000421,-0.0000134,0.0000001,-0.0000144,0.0000297,-0.0001651,-0.0000657,0.0000121,0.0000093,0.0000116,0.0000915,0.0000735,0.0000769,0.0000785,0.0000772,0.0000498,-0.0000385,-0.0000500,0.0001552
