meanlog,sdlog,age_dx,sexM,smokingY,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o
0.297084,0.006474,-0.002471,-0.007071,-0.025407,0.001985,0.002982,-0.004649,-0.003243,-0.005721,-0.006528,-0.009760,-0.007987,0.004540,-0.003998,0.002788,-0.019412,-0.020744,-0.019861,-0.022570,0.000888,-0.002033,0.000576,-0.001997
0.006474,0.000367,-0.000038,-0.000099,-0.000127,-0.000087,0.000039,-0.000282,-0.000009,0.000147,-0.000641,0.000080,-0.000007,0.000084,0.000040,0.000345,-0.000013,-0.000015,0.000018,-0.000021,0.000054,-0.000163,0.000034,-0.000092
-0.002471,-0.000038,0.000027,0.000035,0.000141,-0.000061,-0.000044,-0.000010,0.000035,0.000039,-0.000027,0.000145,0.000062,-0.000140,0.000001,-0.000027,0.000012,0.000032,0.000023,0.000053,-0.000006,0.000006,-0.000003,0.000011
-0.007071,-0.000099,0.000035,0.010647,-0.002772,-0.000333,-0.001217,-0.000792,-0.000439,0.001340,-0.000001,0.000433,0.001174,0.000538,-0.000137,-0.000799,0.000266,0.000790,0.000966,0.001228,-0.000065,0.000158,0.000013,-0.000062
-0.025407,-0.000127,0.000141,-0.002772,0.017520,0.001270,0.000009,0.000199,0.000068,0.000671,0.000757,-0.000208,0.000120,0.000049,0.000027,-0.000126,0.000738,0.000162,0.000195,0.000152,0.000048,-0.000382,-0.000008,0.000054
0.001985,-0.000087,-0.000061,-0.000333,0.001270,0.016591,-0.003568,0.000368,-0.001834,0.000129,-0.000908,-0.000372,-0.000114,-0.001180,0.000120,-0.000028,0.000018,-0.000157,0.000217,0.000109,0.000184,-0.000498,-0.000020,-0.000044
0.002982,0.000039,-0.000044,-0.001217,0.000009,-0.003568,0.013434,-0.000005,-0.000952,-0.000030,0.000655,-0.000646,-0.000090,-0.001412,-0.000222,0.000324,-0.000301,-0.000476,-0.000146,-0.000618,0.000189,-0.000316,-0.000004,-0.000080
-0.004649,-0.000282,-0.000010,-0.000792,0.000199,0.000368,-0.000005,0.013941,-0.000499,0.000056,0.000848,-0.000345,-0.000555,-0.000370,0.000132,0.000060,-0.000185,-0.000086,0.000130,0.000234,0.000123,0.000034,-0.000035,0.000042
-0.003243,-0.000009,0.000035,-0.000439,0.000068,-0.001834,-0.000952,-0.000499,0.013729,-0.000162,-0.000614,0.000357,0.000502,-0.002024,0.000252,0.000048,-0.000446,-0.000545,-0.000737,-0.000672,-0.000038,-0.000063,0.000001,-0.000114
-0.005721,0.000147,0.000039,0.001340,0.000671,0.000129,-0.000030,0.000056,-0.000162,0.018839,-0.000285,0.000465,-0.000523,-0.000075,0.000368,0.000719,-0.000159,0.000350,0.000436,0.000280,-0.000247,-0.000069,-0.000050,0.000139
-0.006528,-0.000641,-0.000027,-0.000001,0.000757,-0.000908,0.000655,0.000848,-0.000614,-0.000285,0.034714,-0.015981,-0.002686,-0.000843,0.000205,-0.000567,0.000462,0.000031,0.001147,0.000973,0.000098,0.000106,-0.000046,0.000107
-0.009760,0.000080,0.000145,0.000433,-0.000208,-0.000372,-0.000646,-0.000345,0.000357,0.000465,-0.015981,0.056209,-0.004442,-0.000438,-0.000093,0.000499,0.000685,-0.000306,0.000060,0.000019,-0.000108,0.000254,-0.000150,-0.000234
-0.007987,-0.000007,0.000062,0.001174,0.000120,-0.000114,-0.000090,-0.000555,0.000502,-0.000523,-0.002686,-0.004442,0.017202,-0.000151,0.000557,0.000765,-0.000066,0.000380,0.000032,-0.000135,-0.000024,0.000111,-0.000109,0.000078
