shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former
0.000075,-0.000492,0.000002,0.000001,0.000032,-0.000002,-0.000010,-0.000001,0.000031,0.000017,-0.000019,-0.000005,0.000001,0.000032,0.000036,0.000006,0.000005,0.000015,0.000008,0.000017,0.000008,-0.000003,-0.000013,0.000073,0.000043
-0.000492,0.038547,-0.000345,-0.001207,0.000449,0.000342,0.000787,-0.000558,-0.002562,0.000228,-0.001749,-0.001590,0.000748,-0.001731,-0.001524,-0.005798,-0.005572,-0.005639,-0.006026,-0.000108,0.000301,-0.000007,0.000239,-0.007590,-0.004739
0.000002,-0.000345,0.000005,0.000006,-0.000017,-0.000007,-0.000019,0.000006,0.000018,-0.000010,0.000025,0.000014,-0.000031,0.000004,0.000004,0.000002,0.000000,0.000002,0.000008,0.000000,-0.000004,0.000000,-0.000003,0.000043,0.000011
0.000001,-0.001207,0.000006,0.002399,-0.000178,-0.000271,-0.000152,-0.000096,0.000358,0.000059,0.000235,0.000259,0.000101,-0.000021,-0.000044,0.000060,0.000100,0.000152,0.000172,-0.000009,0.000019,0.000001,-0.000025,-0.000345,-0.000662
0.000032,0.000449,-0.000017,-0.000178,0.005507,-0.000983,0.000076,-0.000559,0.000192,-0.000382,-0.000015,0.000042,-0.000250,0.000121,0.000154,0.000091,0.000093,0.000120,0.000054,0.000035,-0.000096,-0.000006,-0.000066,0.000467,0.000212
-0.000002,0.000342,-0.000007,-0.000271,-0.000983,0.003793,0.000044,-0.000186,0.000024,-0.000089,-0.000053,-0.000070,-0.000345,-0.000044,0.000003,-0.000051,-0.000108,-0.000028,-0.000087,0.000037,-0.000076,-0.000002,-0.000047,0.000084,-0.000046
-0.000010,0.000787,-0.000019,-0.000152,0.000076,0.000044,0.004927,-0.000200,0.000032,0.000158,-0.000118,-0.000195,-0.000036,-0.000048,0.000067,0.000051,0.000101,0.000110,0.000091,0.000010,-0.000020,0.000003,-0.000043,0.000049,-0.000058
-0.000001,-0.000558,0.000006,-0.000096,-0.000559,-0.000186,-0.000200,0.003611,-0.000044,-0.000216,-0.000125,0.000057,-0.000521,0.000062,0.000016,-0.000128,-0.000041,-0.000078,-0.000128,0.000033,-0.000061,-0.000004,-0.000048,0.000047,-0.000071
0.000031,-0.002562,0.000018,0.000358,0.000192,0.000024,0.000032,-0.000044,0.003049,0.000096,-0.000071,-0.000128,-0.000075,0.000055,0.000211,0.000007,0.000082,-0.000050,-0.000027,-0.000006,-0.000036,-0.000011,-0.000013,0.000522,0.000224
0.000017,0.000228,-0.000010,0.000059,-0.000382,-0.000089,0.000158,-0.000216,0.000096,0.017638,-0.006525,-0.000807,-0.000212,0.000068,0.000124,0.000048,0.000124,0.000193,0.000216,0.000035,-0.000096,-0.000005,-0.000015,0.000253,0.000256
-0.000019,-0.001749,0.000025,0.000235,-0.000015,-0.000053,-0.000118,-0.000125,-0.000071,-0.006525,0.013651,-0.000961,0.000022,-0.000004,0.000060,0.000181,-0.000056,0.000110,-0.000106,0.000024,-0.000047,-0.000006,-0.000052,-0.000139,-0.000190
-0.000005,-0.001590,0.000014,0.000259,0.000042,-0.000070,-0.000195,0.000057,-0.000128,-0.000807,-0.000961,0.003628,-0.000068,0.000121,0.000130,-0.000081,-0.000043,-0.000113,-0.000011,0.000017,-0.000005,-0.000018,0.000016,-0.000025,0.000103
0.000001,0.000748,-0.000031,0.000101,-0.000250,-0.000345,-0.000036,-0.000521,-0.000075,-0.000212,0.000022,-0.000068,0.002751,-0.000040,-0.000058,-0.000012,0.000062,0.000025,-0.000034,0.000028,-0.000003,0.000000,-0.000031,0.000251,-0.000003
0.000032,-0.001731,0.000004,-0.000021,0.000121,-0.000044,-0.000048,0.000062,0.000055,0.000068,-0.000004,0.000121,-0.000040,0.002934,0.001673,-0.000408,-0.000458,-0.000398,-0.000292,0.000002,0.000039,-0.000007,0.000002,0.000030,0.000008
0.000036,-0.001524,0.000004,-0.000044,0.000154,0.000003,0.000067,0.000016,0.000211,0.000124,0.000060,0.000130,-0.000058,0.001673,0.004056,-0.000455,-0.000601,-0.000831,-0.000620,-0.000060,0.000102,-0.000021,-0.000005,0.000137,-0.000017
0.000006,-0.005798,0.000002,0.000060,0.000091,-0.000051,0.000051,-0.000128,0.000007,0.000048,0.000181,-0.000081,-0.000012,-0.000408,-0.000455,0.009220,0.005759,0.005786,0.005761,0.000001,-0.000018,-0.000001,0.000000,0.000150,0.000205
0.000005,-0.005572,0.000000,0.000100,0.000093,-0.000108,0.000101,-0.000041,0.000082,0.000124,-0.000056,-0.000043,0.000062,-0.000458,-0.000601,0.005759,0.008479,0.005821,0.005792,-0.000009,-0.000006,0.000003,-0.000011,-0.000068,0.000099
0.000015,-0.005639,0.000002,0.000152,0.000120,-0.000028,0.000110,-0.000078,-0.000050,0.000193,0.000110,-0.000113,0.000025,-0.000398,-0.000831,0.005786,0.005821,0.007879,0.005855,-0.000008,-0.000016,-0.000004,0.000009,-0.000064,0.000042
0.000008,-0.006026,0.000008,0.000172,0.000054,-0.000087,0.000091,-0.000128,-0.000027,0.000216,-0.000106,-0.000011,-0.000034,-0.000292,-0.000620,0.005761,0.005792,0.005855,0.007745,0.000009,-0.000012,-0.000008,-0.000008,-0.000137,0.000065
0.000017,-0.000108,0.000000,-0.000009,0.000035,0.000037,0.000010,0.000033,-0.000006,0.000035,0.000024,0.000017,0.000028,0.000002,-0.000060,0.000001,-0.000009,-0.000008,0.000009,0.000123,-0.000130,-0.000015,0.000031,0.000011,0.000029
0.000008,0.000301,-0.000004,0.000019,-0.000096,-0.000076,-0.000020,-0.000061,-0.000036,-0.000096,-0.000047,-0.000005,-0.000003,0.000039,0.000102,-0.000018,-0.000006,-0.000016,-0.000012,-0.000130,0.000347,0.000009,-0.000067,-0.000140,-0.000069
-0.000003,-0.000007,0.000000,0.000001,-0.000006,-0.000002,0.000003,-0.000004,-0.000011,-0.000005,-0.000006,-0.000018,0.000000,-0.000007,-0.000021,-0.000001,0.000003,-0.000004,-0.000008,-0.000015,0.000009,0.000008,-0.000018,0.000001,-0.000002
-0.000013,0.000239,-0.000003,-0.000025,-0.000066,-0.000047,-0.000043,-0.000048,-0.000013,-0.000015,-0.000052,0.000016,-0.000031,0.000002,-0.000005,0.000000,-0.000011,0.000009,-0.000008,0.000031,-0.000067,-0.000018,0.000249,-0.000020,-0.000002
0.000073,-0.007590,0.000043,-0.000345,0.000467,0.000084,0.000049,0.000047,0.000522,0.000253,-0.000139,-0.000025,0.000251,0.000030,0.000137,0.000150,-0.000068,-0.000064,-0.000137,0.000011,-0.000140,0.000001,-0.000020,0.005802,0.004057
0.000043,-0.004739,0.000011,-0.000662,0.000212,-0.000046,-0.000058,-0.000071,0.000224,0.000256,-0.000190,0.000103,-0.000003,0.000008,-0.000017,0.000205,0.000099,0.000042,0.000065,0.000029,-0.000069,-0.000002,-0.000002,0.004057,0.005332
