shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former
0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00341,-0.00003,-0.00014,0.00009,0.00005,0.00009,-0.00005,-0.00026,0.00001,-0.00014,-0.00019,0.00008,-0.00014,-0.00010,-0.00062,-0.00061,-0.00061,-0.00065,0.00000,0.00004,0.00000,0.00000,-0.00062,-0.00036
0.00000,-0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,-0.00014,0.00000,0.00026,-0.00001,-0.00003,-0.00001,-0.00001,0.00004,0.00000,0.00002,0.00003,0.00001,0.00000,-0.00001,0.00001,0.00002,0.00002,0.00003,0.00000,0.00000,0.00000,0.00000,-0.00004,-0.00007
0.00000,0.00009,0.00000,-0.00001,0.00062,-0.00011,0.00000,-0.00006,0.00002,-0.00004,0.00000,0.00000,-0.00003,0.00002,0.00002,0.00000,-0.00001,0.00000,-0.00001,0.00000,-0.00001,0.00000,-0.00001,0.00004,0.00001
0.00000,0.00005,0.00000,-0.00003,-0.00011,0.00040,0.00001,-0.00002,-0.00001,-0.00001,0.00000,-0.00001,-0.00004,-0.00001,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,-0.00002,0.00000,0.00000,0.00001,-0.00001
0.00000,0.00009,0.00000,-0.00001,0.00000,0.00001,0.00049,-0.00001,0.00000,0.00001,-0.00001,-0.00001,-0.00001,0.00000,0.00001,-0.00001,0.00000,0.00000,0.00000,0.00000,-0.00001,0.00000,0.00000,0.00000,-0.00001
0.00000,-0.00005,0.00000,-0.00001,-0.00006,-0.00002,-0.00001,0.00036,-0.00001,-0.00001,-0.00001,0.00001,-0.00006,0.00001,0.00000,0.00000,0.00000,-0.00001,-0.00002,0.00000,-0.00001,0.00000,0.00000,0.00001,0.00000
0.00000,-0.00026,0.00000,0.00004,0.00002,-0.00001,0.00000,-0.00001,0.00034,0.00001,0.00000,-0.00001,-0.00001,0.00001,0.00002,0.00000,0.00001,0.00000,0.00000,-0.00001,-0.00001,0.00000,0.00000,0.00005,0.00002
0.00000,0.00001,0.00000,0.00000,-0.00004,-0.00001,0.00001,-0.00001,0.00001,0.00186,-0.00072,-0.00008,-0.00003,0.00001,0.00001,0.00003,0.00000,0.00003,0.00003,0.00000,-0.00001,0.00000,-0.00002,0.00001,0.00002
0.00000,-0.00014,0.00000,0.00002,0.00000,0.00000,-0.00001,-0.00001,0.00000,-0.00072,0.00130,-0.00010,0.00001,0.00000,0.00001,0.00002,0.00000,0.00002,0.00000,0.00001,0.00000,0.00000,0.00000,-0.00003,-0.00003
0.00000,-0.00019,0.00000,0.00003,0.00000,-0.00001,-0.00001,0.00001,-0.00001,-0.00008,-0.00010,0.00036,-0.00001,0.00001,0.00001,0.00000,0.00000,-0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
0.00000,0.00008,0.00000,0.00001,-0.00003,-0.00004,-0.00001,-0.00006,-0.00001,-0.00003,0.00001,-0.00001,0.00030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000
0.00000,-0.00014,0.00000,0.00000,0.00002,-0.00001,0.00000,0.00001,0.00001,0.00001,0.00000,0.00001,0.00000,0.00031,0.00017,-0.00004,-0.00004,-0.00004,-0.00002,0.00000,0.00000,0.00000,0.00000,-0.00001,0.00000
0.00000,-0.00010,0.00000,-0.00001,0.00002,0.00000,0.00001,0.00000,0.00002,0.00001,0.00001,0.00001,0.00000,0.00017,0.00042,-0.00006,-0.00006,-0.00009,-0.00007,-0.00001,0.00001,0.00000,0.00000,0.00001,-0.00001
0.00000,-0.00062,0.00000,0.00001,0.00000,0.00001,-0.00001,0.00000,0.00000,0.00003,0.00002,0.00000,0.00000,-0.00004,-0.00006,0.00101,0.00063,0.00064,0.00063,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001
0.00000,-0.00061,0.00000,0.00002,-0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,-0.00004,-0.00006,0.00063,0.00092,0.00063,0.00063,0.00000,0.00000,0.00000,0.00000,-0.00001,0.00000
0.00000,-0.00061,0.00000,0.00002,0.00000,0.00000,0.00000,-0.00001,0.00000,0.00003,0.00002,-0.00001,0.00000,-0.00004,-0.00009,0.00064,0.00063,0.00087,0.00064,0.00000,0.00000,0.00000,0.00000,-0.00001,-0.00001
0.00000,-0.00065,0.00000,0.00003,-0.00001,0.00000,0.00000,-0.00002,0.00000,0.00003,0.00000,0.00000,0.00000,-0.00002,-0.00007,0.00063,0.00063,0.00064,0.00083,0.00000,0.00000,0.00000,0.00000,-0.00002,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001,0.00000,0.00001,0.00000,0.00000,0.00000,-0.00001,0.00000,0.00000,0.00000,0.00000,0.00002,-0.00002,0.00000,0.00000,0.00000,0.00000
0.00000,0.00004,0.00000,0.00000,-0.00001,-0.00002,-0.00001,-0.00001,-0.00001,-0.00001,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,-0.00002,0.00006,0.00000,0.00000,-0.00002,-0.00001
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,-0.00001,0.00000,0.00000,0.00000,0.00000,-0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000
0.00000,-0.00062,0.00000,-0.00004,0.00004,0.00001,0.00000,0.00001,0.00005,0.00001,-0.00003,0.00000,0.00002,-0.00001,0.00001,0.00001,-0.00001,-0.00001,-0.00002,0.00000,-0.00002,0.00000,0.00000,0.00053,0.00033
0.00000,-0.00036,0.00000,-0.00007,0.00001,-0.00001,-0.00001,0.00000,0.00002,0.00002,-0.00003,0.00001,0.00000,0.00000,-0.00001,0.00001,0.00000,-0.00001,0.00000,0.00000,-0.00001,0.00000,0.00000,0.00033,0.00047
