meanlog,sdlog,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former
1.19731,0.01335,-0.00831,-0.03459,0.00517,-0.01570,-0.01965,-0.02017,-0.05901,-0.00036,-0.04627,-0.03192,-0.00376,-0.03167,-0.03398,-0.11456,-0.10719,-0.10500,-0.11715,0.00388,-0.00399,0.00382,0.00243,-0.23002,-0.15294
0.01335,0.00049,-0.00001,-0.00027,-0.00039,-0.00081,-0.00106,-0.00030,-0.00013,-0.00060,-0.00013,0.00013,-0.00054,-0.00009,-0.00020,-0.00017,0.00009,0.00014,0.00005,0.00010,-0.00046,0.00017,0.00000,-0.00163,-0.00117
-0.00831,-0.00001,0.00011,0.00012,-0.00039,-0.00016,-0.00031,0.00013,0.00045,-0.00036,0.00056,0.00030,-0.00067,0.00007,0.00014,0.00006,0.00007,0.00005,0.00022,-0.00003,-0.00009,0.00000,-0.00006,0.00107,0.00033
-0.03459,-0.00027,0.00012,0.05374,-0.00270,-0.00583,-0.00242,-0.00142,0.00796,0.00039,0.00465,0.00615,0.00315,-0.00088,-0.00193,0.00170,0.00227,0.00422,0.00391,0.00008,0.00025,-0.00006,-0.00052,-0.00768,-0.01482
0.00517,-0.00039,-0.00039,-0.00270,0.10128,-0.01753,0.00224,-0.01154,0.00253,-0.00525,-0.00124,-0.00038,-0.00404,0.00243,0.00265,0.00207,0.00010,0.00129,0.00003,0.00095,-0.00259,0.00016,-0.00135,0.01042,0.00501
-0.01570,-0.00081,-0.00016,-0.00583,-0.01753,0.06969,0.00274,-0.00242,0.00047,0.00225,-0.00221,-0.00116,-0.00700,-0.00082,0.00050,0.00047,-0.00273,-0.00031,-0.00198,0.00112,-0.00088,-0.00039,-0.00070,0.00499,0.00124
-0.01965,-0.00106,-0.00031,-0.00242,0.00224,0.00274,0.07836,-0.00229,0.00220,0.00301,-0.00242,-0.00357,0.00073,0.00004,0.00161,-0.00031,-0.00012,0.00007,-0.00082,0.00042,0.00067,-0.00018,-0.00099,0.00591,0.00174
-0.02017,-0.00030,0.00013,-0.00142,-0.01154,-0.00242,-0.00229,0.06959,-0.00054,-0.00288,-0.00172,0.00212,-0.01085,0.00109,-0.00159,-0.00170,-0.00123,-0.00298,-0.00325,0.00015,-0.00039,-0.00023,-0.00092,0.00265,-0.00013
-0.05901,-0.00013,0.00045,0.00796,0.00253,0.00047,0.00220,-0.00054,0.08012,0.00070,-0.00026,-0.00291,-0.00152,0.00168,0.00431,-0.00144,0.00140,-0.00117,-0.00131,-0.00096,-0.00030,-0.00049,0.00048,0.01174,0.00422
-0.00036,-0.00060,-0.00036,0.00039,-0.00525,0.00225,0.00301,-0.00288,0.00070,0.30007,-0.11046,-0.01739,-0.00290,0.00265,0.00266,-0.00167,-0.00085,0.00184,0.00153,0.00074,-0.00085,-0.00020,0.00028,0.00786,0.00839
