shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former
0.00013,-0.00070,0.00000,0.00005,-0.00002,0.00001,0.00009,0.00002,-0.00001,-0.00002,-0.00001,-0.00005,0.00004,0.00001,0.00004,-0.00001,-0.00003,-0.00005,-0.00005,-0.00004,0.00000,-0.00001,0.00004,-0.00001,0.00000
-0.00070,0.05813,-0.00055,-0.00255,0.00125,0.00084,0.00077,-0.00078,-0.00404,0.00167,-0.00263,-0.00258,0.00097,-0.00225,-0.00202,-0.00746,-0.00736,-0.00724,-0.00785,0.00044,0.00090,0.00003,-0.00020,-0.01044,-0.00594
0.00000,-0.00055,0.00001,0.00001,-0.00002,-0.00002,-0.00003,0.00001,0.00003,-0.00003,0.00004,0.00002,-0.00006,0.00000,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,-0.00001,0.00000,0.00000,0.00007,0.00002
0.00005,-0.00255,0.00001,0.00416,-0.00015,-0.00051,-0.00016,-0.00014,0.00063,-0.00012,0.00032,0.00050,0.00021,-0.00006,-0.00015,0.00014,0.00021,0.00032,0.00041,-0.00003,0.00000,0.00000,-0.00003,-0.00065,-0.00108
-0.00002,0.00125,-0.00002,-0.00015,0.00994,-0.00180,-0.00016,-0.00100,0.00025,-0.00068,-0.00006,0.00003,-0.00036,0.00018,0.00016,-0.00004,-0.00016,0.00005,-0.00005,0.00002,-0.00039,0.00001,-0.00007,0.00061,0.00015
0.00001,0.00084,-0.00002,-0.00051,-0.00180,0.00628,0.00013,-0.00025,0.00002,0.00024,-0.00004,-0.00011,-0.00065,-0.00011,-0.00012,0.00005,-0.00014,-0.00001,-0.00016,0.00012,-0.00033,0.00000,-0.00001,0.00014,-0.00010
0.00009,0.00077,-0.00003,-0.00016,-0.00016,0.00013,0.00641,-0.00014,-0.00004,0.00007,-0.00019,-0.00030,-0.00009,0.00005,0.00013,-0.00010,-0.00010,-0.00003,-0.00011,0.00007,-0.00015,-0.00001,0.00000,0.00010,-0.00012
0.00002,-0.00078,0.00001,-0.00014,-0.00100,-0.00025,-0.00014,0.00569,-0.00006,0.00011,-0.00006,0.00013,-0.00092,0.00014,-0.00003,-0.00012,-0.00016,-0.00031,-0.00039,0.00000,-0.00013,0.00000,-0.00002,0.00017,-0.00007
-0.00001,-0.00404,0.00003,0.00063,0.00025,0.00002,-0.00004,-0.00006,0.00623,0.00022,-0.00010,-0.00018,-0.00012,0.00020,0.00032,-0.00005,0.00007,-0.00002,-0.00006,-0.00018,-0.00004,-0.00002,0.00004,0.00089,0.00034
-0.00002,0.00167,-0.00003,-0.00012,-0.00068,0.00024,0.00007,0.00011,0.00022,0.03410,-0.01149,-0.00152,-0.00026,0.00002,0.00016,0.00031,-0.00006,0.00029,0.00027,0.00017,0.00000,-0.00003,-0.00027,0.00012,0.00026
