meanlog,sdlog,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former
0.5030052,0.0103783,-0.0042738,-0.0115620,0.0017926,0.0028145,-0.0069515,-0.0056688,-0.0114733,-0.0101988,-0.0151986,-0.0103347,0.0051722,-0.0064743,0.0049911,-0.0274711,-0.0304774,-0.0270323,-0.0320190,0.0017340,-0.0028341,0.0007670,-0.0028547,-0.0616427,-0.0324006
0.0103783,0.0005594,-0.0000611,-0.0001398,-0.0001755,0.0000595,-0.0004341,0.0000119,0.0001905,-0.0008460,0.0000775,0.0000534,0.0001151,0.0000342,0.0006154,0.0000323,-0.0000091,0.0000930,0.0000399,0.0000945,-0.0002652,0.0000463,-0.0001316,-0.0004227,-0.0001725
-0.0042738,-0.0000611,0.0000464,0.0000615,-0.0000838,-0.0000480,-0.0000145,0.0000627,0.0000854,-0.0000271,0.0002176,0.0000818,-0.0001956,0.0000073,-0.0000410,-0.0000035,0.0000309,0.0000014,0.0000574,-0.0000123,0.0000044,-0.0000038,0.0000144,0.0004520,0.0001517
-0.0115620,-0.0001398,0.0000615,0.0164852,-0.0005101,-0.0018821,-0.0009378,-0.0003949,0.0021269,-0.0002274,0.0013243,0.0017261,0.0010474,-0.0004380,-0.0010714,0.0005858,0.0010807,0.0013650,0.0015523,-0.0000375,0.0000980,0.0000128,-0.0001371,-0.0029774,-0.0052054
0.0017926,-0.0001755,-0.0000838,-0.0005101,0.0264565,-0.0053546,0.0004234,-0.0031917,0.0006966,-0.0015119,-0.0008751,-0.0000568,-0.0017568,0.0006363,0.0004591,-0.0005676,-0.0004097,0.0002192,-0.0002279,0.0003147,-0.0007520,-0.0000467,-0.0000547,0.0027539,0.0013217
0.0028145,0.0000595,-0.0000480,-0.0018821,-0.0053546,0.0212393,0.0001107,-0.0011223,0.0000776,0.0003373,-0.0011034,-0.0000971,-0.0018966,-0.0004030,-0.0000364,-0.0001428,-0.0009798,0.0001603,-0.0008107,0.0003511,-0.0006765,-0.0000056,-0.0000663,0.0009182,-0.0002168
-0.0069515,-0.0004341,-0.0000145,-0.0009378,0.0004234,0.0001107,0.0211652,-0.0009426,0.0001374,0.0013436,-0.0003619,-0.0010050,-0.0004580,0.0002298,0.0000623,-0.0009461,-0.0006797,-0.0002780,-0.0004793,0.0000922,0.0001189,-0.0000393,0.0000199,0.0010750,-0.0002559
-0.0056688,0.0000119,0.0000627,-0.0003949,-0.0031917,-0.0011223,-0.0009426,0.0216961,0.0000208,-0.0005009,0.0007380,0.0009587,-0.0030328,0.0004103,0.0001664,-0.0006097,-0.0007340,-0.0012929,-0.0011052,-0.0000152,-0.0002413,0.0000006,-0.0001866,0.0007714,-0.0001835
-0.0114733,0.0001905,0.0000854,0.0021269,0.0006966,0.0000776,0.0001374,0.0000208,0.0287784,0.0001492,0.0004456,-0.0008980,-0.0001805,0.0005325,0.0010193,-0.0005028,0.0005602,0.0004120,0.0001869,-0.0003707,-0.0000749,-0.0000693,0.0001809,0.0029195,0.0005633
-0.0101988,-0.0008460,-0.0000271,-0.0002274,-0.0015119,0.0003373,0.0013436,-0.0005009,0.0001492,0.0614367,-0.0272794,-0.0044233,-0.0012368,0.0005580,0.0005400,0.0010847,0.0003549,0.0014662,0.0019331,0.0000714,0.0003502,-0.0000764,-0.0000786,0.0017018,0.0012625
