,EDC_HC,EDC_HO,EDC_MO
intercept,-3.473173855,-4.973449848,-8.580115958
age_dx,0.03812269,0.036150579,0.040268577
sexM,-0.036868841,0.144681381,0.447122955
c_chf1,0.359779927,0.432467553,1.293275553
c_ihd1,0.002674433,0.018725684,0.071270505
c_cancer1,0.090744686,0.40186706,-0.266617617
c_dm1,0.083616216,0.198655715,0.018966244
c_asthma1,-0.111472287,0.066382051,0.139078277
c_dementia1,0.393454682,0.775897517,-4.658894388
c_depression1,0.180510938,-0.03018194,-4.099280854
c_anxiety1,-0.118094546,-0.109645614,0.77415285
c_htn1,0.121794754,0.240029689,-0.060936794
rio_cat2.10-44,-0.368806204,-0.607580397,0.344580346
rio_cat3.45+,-0.790297382,-1.107888635,-0.699252109
deprivationQ2,-0.13312583,-0.172187807,-0.557557603
deprivationQ3,-0.03253163,-0.294797289,-0.733570937
deprivationQ4,-0.004025863,0.014559141,-1.350790401
deprivationQ5,-0.020890496,-0.057471436,-0.504678391
ned_c,-0.116613789,-0.183800475,-0.113788665
nhosp_c,0.338656277,0.253901491,0.292269187
ned_o,-0.039996711,-0.021909763,-0.177199383
nhosp_o,0.089373141,0.158734588,0.186375995
smoking_current,0.609024281,-0.162490411,0.67581496
smoking_former,0.392476411,-0.218969528,0.18365273
