4:(Intercept),4:age_dx,4:sexM,4:c_chf1,4:c_ihd1,4:c_cancer1,4:c_dm1,4:c_asthma1,4:c_dementia1,4:c_depression1,4:c_anxiety1,4:c_htn1,4:rio_cat2.10-44,4:rio_cat3.45+,4:deprivationQ2,4:deprivationQ3,4:deprivationQ4,4:deprivationQ5,4:ned_c,4:nhosp_c,4:ned_o,4:nhosp_o,4:smoking_current,4:smoking_former,5:(Intercept),5:age_dx,5:sexM,5:c_chf1,5:c_ihd1,5:c_cancer1,5:c_dm1,5:c_asthma1,5:c_dementia1,5:c_depression1,5:c_anxiety1,5:c_htn1,5:rio_cat2.10-44,5:rio_cat3.45+,5:deprivationQ2,5:deprivationQ3,5:deprivationQ4,5:deprivationQ5,5:ned_c,5:nhosp_c,5:ned_o,5:nhosp_o,5:smoking_current,5:smoking_former,7:(Intercept),7:age_dx,7:sexM,7:c_chf1,7:c_ihd1,7:c_cancer1,7:c_dm1,7:c_asthma1,7:c_dementia1,7:c_depression1,7:c_anxiety1,7:c_htn1,7:rio_cat2.10-44,7:rio_cat3.45+,7:deprivationQ2,7:deprivationQ3,7:deprivationQ4,7:deprivationQ5,7:ned_c,7:nhosp_c,7:ned_o,7:nhosp_o,7:smoking_current,7:smoking_former
0.0486824,-0.0004545,-0.0008596,0.0001483,0.0001089,0.0004683,-0.0008574,-0.0030302,-0.0000386,-0.0030321,-0.0016747,0.0004241,-0.0018666,-0.0014930,-0.0064917,-0.0063948,-0.0061409,-0.0068956,-0.0001685,0.0005356,-0.0000411,0.0001902,-0.0102971,-0.0067988,0.0181881,-0.0001701,-0.0003838,0.0000218,0.0001153,0.0002658,-0.0002586,-0.0013414,-0.0002532,-0.0009206,-0.0007835,0.0003915,-0.0008105,-0.0006010,-0.0028706,-0.0028402,-0.0027816,-0.0031287,-0.0000181,0.0002517,-0.0000128,0.0000817,-0.0040159,-0.0027094,0.0181353,-0.0001702,-0.0002840,0.0000550,-0.0000024,0.0002874,-0.0002946,-0.0012476,-0.0000210,0.0000278,-0.0007442,0.0003525,-0.0006927,-0.0005666,-0.0029616,-0.0028453,-0.0028227,-0.0031735,-0.0000864,0.0003167,-0.0000165,0.0000524,-0.0037707,-0.0025749
-0.0004545,0.0000060,0.0000023,-0.0000147,-0.0000059,-0.0000183,0.0000097,0.0000228,-0.0000097,0.0000370,0.0000157,-0.0000303,0.0000061,0.0000046,0.0000044,0.0000041,0.0000036,0.0000140,-0.0000006,-0.0000041,0.0000005,-0.0000035,0.0000618,0.0000206,-0.0001720,0.0000024,0.0000007,-0.0000053,-0.0000041,-0.0000091,0.0000025,0.0000098,-0.0000007,0.0000134,0.0000073,-0.0000141,0.0000014,-0.0000007,0.0000017,0.0000018,0.0000025,0.0000067,-0.0000011,-0.0000017,0.0000002,-0.0000017,0.0000258,0.0000097,-0.0001705,0.0000023,-0.0000003,-0.0000051,-0.0000023,-0.0000095,0.0000029,0.0000088,0.0000002,-0.0000003,0.0000075,-0.0000136,-0.0000002,-0.0000012,0.0000034,0.0000022,0.0000034,0.0000072,-0.0000005,-0.0000023,0.0000003,-0.0000016,0.0000247,0.0000099
-0.0008596,0.0000023,0.0027556,-0.0002361,-0.0002994,-0.0002668,-0.0001410,0.0003199,0.0000790,0.0003171,0.0003078,0.0001878,-0.0000083,-0.0000895,0.0000025,0.0000472,0.0000598,0.0000098,-0.0000070,0.0000105,0.0000032,-0.0000396,-0.0004622,-0.0008838,-0.0004163,0.0000013,0.0011759,-0.0001112,-0.0001316,-0.0000812,-0.0000935,0.0001383,0.0000587,0.0001157,0.0001301,0.0000617,-0.0000045,-0.0000502,0.0000132,0.0000350,0.0000429,0.0000356,-0.0000059,0.0000150,-0.0000008,-0.0000119,-0.0001842,-0.0003499,-0.0004494,0.0000018,0.0011232,-0.0000957,-0.0001047,-0.0000667,-0.0000821,0.0001286,0.0000007,-0.0000012,0.0001239,0.0000516,-0.0000036,-0.0000573,-0.0000020,0.0000050,0.0000334,0.0000211,-0.0000102,0.0000353,-0.0000039,-0.0000096,-0.0001624,-0.0003149
0.0001483,-0.0000147,-0.0002361,0.0054988,-0.0010221,0.0002137,-0.0006469,0.0002176,-0.0003112,-0.0000537,-0.0000035,-0.0003563,0.0000463,0.0000891,0.0000872,0.0001264,0.0001209,0.0001197,0.0000389,-0.0000806,0.0000002,-0.0000232,0.0006963,0.0004465,-0.0000243,-0.0000049,-0.0001193,0.0028076,-0.0004799,0.0000898,-0.0003091,0.0001100,-0.0000989,-0.0000093,-0.0000283,-0.0001442,-0.0000157,0.0000009,0.0000641,0.0000505,0.0000568,0.0000686,0.0000095,-0.0000237,-0.0000022,-0.0000063,0.0003216,0.0002038,-0.0003221,0.0000001,-0.0001362,0.0026265,-0.0004863,0.0000803,-0.0002814,0.0000430,0.0000004,-0.0000007,-0.0000194,-0.0001622,-0.0000825,-0.0001194,0.0000088,0.0000462,0.0000551,0.0000807,-0.0000107,0.0000190,-0.0000030,0.0000031,0.0003778,0.0002847
0.0001089,-0.0000059,-0.0002994,-0.0010221,0.0040431,0.0000331,-0.0002322,0.0001232,-0.0002387,0.0000042,-0.0000414,-0.0003301,0.0000013,0.0001292,-0.0000446,-0.0002125,-0.0000657,-0.0001466,0.0000497,-0.0000673,-0.0000083,-0.0000501,0.0000991,-0.0000375,0.0001077,-0.0000039,-0.0001333,-0.0004796,0.0018735,0.0000401,-0.0001293,0.0000316,-0.0001557,0.0000718,-0.0000318,-0.0001655,0.0000013,0.0000701,0.0000088,-0.0000413,-0.0000085,-0.0000377,0.0000293,-0.0000420,-0.0000038,-0.0000191,0.0000306,-0.0000140,-0.0000324,-0.0000018,-0.0001001,-0.0004674,0.0018354,0.0000124,-0.0001235,0.0000556,-0.0000001,0.0000000,-0.0000051,-0.0001721,-0.0000179,0.0000367,0.0000139,-0.0000578,-0.0000291,-0.0000364,0.0000286,-0.0000526,-0.0000034,-0.0000287,0.0000558,-0.0000060
0.0004683,-0.0000183,-0.0002668,0.0002137,0.0000331,0.0051498,-0.0003524,0.0000993,0.0003987,-0.0000668,-0.0003627,0.0000043,-0.0000844,0.0001524,0.0002304,0.0002369,0.0002368,0.0002121,-0.0000058,0.0000046,-0.0000027,-0.0000019,0.0001471,0.0000890,0.0001527,-0.0000078,-0.0000726,0.0001023,0.0000428,0.0023698,-0.0001476,0.0000264,0.0001963,-0.0000762,-0.0001570,0.0000163,-0.0000538,0.0000025,0.0001399,0.0001246,0.0001132,0.0001187,-0.0000069,-0.0000010,-0.0000006,0.0000063,0.0000682,0.0000113,0.0003867,-0.0000104,-0.0000750,0.0000634,0.0000128,0.0022954,-0.0001497,0.0000316,-0.0000011,0.0000013,-0.0001756,0.0000155,-0.0000324,0.0000919,0.0001444,0.0001228,0.0001215,0.0001268,0.0000082,-0.0000290,-0.0000007,0.0000095,0.0000108,-0.0000253
-0.0008574,0.0000097,-0.0001410,-0.0006469,-0.0002322,-0.0003524,0.0039201,-0.0000020,-0.0003432,-0.0001777,0.0000928,-0.0005381,0.0000757,0.0000856,-0.0002513,-0.0001046,-0.0000756,-0.0001915,0.0000244,-0.0000360,-0.0000020,-0.0000529,0.0000782,-0.0000754,-0.0003103,0.0000031,-0.0001031,-0.0003015,-0.0001288,-0.0001480,0.0017889,-0.0000138,-0.0001195,-0.0001231,0.0000186,-0.0002451,0.0000534,0.0000242,-0.0000930,-0.0000288,-0.0000152,-0.0000499,0.0000171,-0.0000165,-0.0000018,-0.0000180,0.0000325,-0.0000270,-0.0002645,0.0000027,-0.0000864,-0.0002902,-0.0001179,-0.0001491,0.0017556,0.0000055,0.0000007,-0.0000005,0.0000154,-0.0002306,0.0000390,0.0000036,-0.0000894,-0.0000240,-0.0000393,-0.0000681,0.0000122,-0.0000175,-0.0000037,-0.0000188,0.0000514,-0.0000341
-0.0030302,0.0000228,0.0003199,0.0002176,0.0001232,0.0000993,-0.0000020,0.0036300,0.0001544,0.0000777,-0.0001531,-0.0001274,0.0000474,0.0002007,0.0000717,0.0002082,-0.0000537,0.0000848,-0.0000002,-0.0000424,-0.0000239,0.0000220,0.0006847,0.0003179,-0.0013671,0.0000105,0.0001423,0.0000998,0.0000389,0.0000286,-0.0000099,0.0014230,0.0000595,0.0000215,-0.0000638,-0.0000548,0.0000460,0.0001271,0.0000231,0.0000793,-0.0000493,0.0000341,-0.0000022,-0.0000301,-0.0000093,0.0000077,0.0003314,0.0001962,-0.0013060,0.0000097,0.0001345,0.0000841,0.0000567,0.0000276,0.0000088,0.0013967,0.0000014,-0.0000021,-0.0000677,-0.0000550,0.0000383,0.0000995,0.0000398,0.0000757,-0.0000009,0.0000488,-0.0000009,-0.0000016,-0.0000150,0.0000146,0.0003007,0.0001720
-0.0000386,-0.0000097,0.0000790,-0.0003112,-0.0002387,0.0003987,-0.0003432,0.0001544,0.0184734,-0.0066044,-0.0010723,-0.0003365,-0.0000431,0.0001932,-0.0000041,0.0004157,0.0002609,0.0005025,0.0000233,-0.0000573,-0.0000162,0.0000664,0.0004969,0.0004841,-0.0004010,0.0000010,0.0000396,-0.0000516,-0.0001520,0.0001978,-0.0000999,0.0000394,0.0103836,-0.0039325,-0.0005999,-0.0001658,-0.0000886,-0.0000018,0.0001015,0.0003208,0.0002698,0.0003391,0.0000321,-0.0000538,-0.0000190,0.0000262,0.0002319,0.0001870,0.0002703,-0.0000080,0.0000591,-0.0001997,-0.0001052,0.0001785,-0.0001454,0.0000831,-0.0000025,0.0000015,-0.0004192,-0.0001334,0.0000555,0.0001674,0.0000357,0.0001947,0.0001387,0.0002208,0.0000315,-0.0000748,-0.0000050,0.0000231,0.0000874,0.0001032
-0.0030321,0.0000370,0.0003171,-0.0000537,0.0000042,-0.0000668,-0.0001777,0.0000777,-0.0066044,0.0152485,-0.0010688,0.0000145,0.0001613,0.0001491,0.0000809,-0.0000838,0.0000468,-0.0003144,-0.0000002,-0.0000250,-0.0000215,-0.0000420,0.0002051,0.0000130,-0.0009188,0.0000125,0.0001080,-0.0000131,0.0000654,-0.0000618,-0.0001265,0.0000105,-0.0037034,0.0071767,-0.0003969,0.0000171,0.0000747,0.0000663,-0.0000193,-0.0001392,0.0000117,-0.0001631,0.0000188,-0.0000348,-0.0000103,-0.0000160,-0.0000412,-0.0000836,-0.0007363,0.0000094,0.0001181,-0.0000457,0.0000035,-0.0000394,-0.0001000,0.0000476,0.0000018,-0.0000029,-0.0003938,-0.0000260,0.0001049,0.0001312,0.0000458,-0.0000333,0.0000421,-0.0001143,0.0000154,-0.0000548,-0.0000021,-0.0000342,0.0000007,-0.0000245
