,EDO_HC,EDO_HO,EDO_MO
Intercept,-6.219808541,-3.589104128,-8.721671294
age_dx,0.040412588,0.027482684,0.031827964
sexM,0.046802511,0.066402032,0.563990317
c_chf1,0.557148787,0.285755338,0.402784098
c_ihd1,0.142573407,0.105988728,0.14069807
c_cancer1,0.067696412,0.058476514,0.001767872
c_dm1,0.263154367,0.256416467,0.118557717
c_asthma1,0.097696868,-0.111605287,0.072740753
c_dementia1,0.384187623,0.089033596,0.673513885
c_depression1,-0.029805263,-0.005034468,-0.695637186
c_anxiety1,-0.116907696,-0.082819888,-0.31191428
c_htn1,0.142335783,0.148184635,0.353509019
rio_cat2.10-44,-0.208079288,-0.192717226,0.174619638
rio_cat3.45+,-0.435449471,-0.432375929,0.243321342
deprivationQ2,-0.063533655,-0.082172022,-0.422436577
deprivationQ3,-0.097004258,-0.127204676,-0.167749992
deprivationQ4,0.024351483,-0.08358816,-0.073793176
deprivationQ5,0.067198836,-0.104993735,-0.258708842
ned_c,-0.033504269,-0.076792701,0.000541144
nhosp_c,0.331885812,0.117539341,0.33108461
ned_o,-0.071808976,-0.034918443,-0.108680991
nhosp_o,0.072006978,0.163094652,0.190261409
smoking_current,0.788716391,0.114551346,0.451256884
smoking_former,0.452638113,0.002639722,0.148273498
