shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former
0.0001065,0.0000052,-0.0000001,-0.0000011,-0.0000003,0.0000009,-0.0000006,0.0000002,0.0000012,0.0000015,-0.0000006,0.0000011,-0.0000003,-0.0000001,-0.0000018,-0.0000006,-0.0000007,-0.0000015,-0.0000002,0.0000003,-0.0000004,0.0000000,0.0000001,0.0000005,0.0000004
0.0000052,0.0090434,-0.0000844,-0.0002303,0.0000964,-0.0000875,-0.0000352,-0.0001826,-0.0005816,0.0000674,-0.0005916,-0.0002803,-0.0000026,-0.0003104,-0.0002587,-0.0010135,-0.0011019,-0.0010211,-0.0011456,0.0000204,-0.0000063,-0.0000099,0.0000311,-0.0018724,-0.0011956
-0.0000001,-0.0000844,0.0000011,0.0000013,-0.0000033,0.0000001,-0.0000015,0.0000020,0.0000052,-0.0000027,0.0000066,0.0000023,-0.0000043,0.0000009,0.0000011,0.0000001,0.0000009,0.0000001,0.0000022,-0.0000001,-0.0000006,0.0000001,-0.0000004,0.0000116,0.0000041
-0.0000011,-0.0002303,0.0000013,0.0004742,-0.0000332,-0.0000581,-0.0000393,-0.0000120,0.0000622,-0.0000096,0.0000448,0.0000488,0.0000347,-0.0000115,-0.0000147,-0.0000032,0.0000078,0.0000249,0.0000032,0.0000041,-0.0000045,-0.0000004,-0.0000041,-0.0000702,-0.0001340
-0.0000003,0.0000964,-0.0000033,-0.0000332,0.0007288,-0.0001301,0.0000314,-0.0000785,0.0000243,-0.0000316,-0.0000240,-0.0000064,-0.0000563,0.0000184,0.0000134,0.0000205,0.0000129,0.0000208,0.0000163,0.0000047,-0.0000080,0.0000007,-0.0000036,0.0001069,0.0000603
0.0000009,-0.0000875,0.0000001,-0.0000581,-0.0001301,0.0005766,0.0000110,-0.0000321,0.0000142,-0.0000281,-0.0000052,0.0000046,-0.0000593,-0.0000124,0.0000017,0.0000036,-0.0000146,0.0000143,-0.0000108,0.0000084,-0.0000068,0.0000001,-0.0000061,0.0000309,0.0000061
-0.0000006,-0.0000352,-0.0000015,-0.0000393,0.0000314,0.0000110,0.0007523,-0.0000276,0.0000247,0.0000289,0.0000025,-0.0000370,0.0000073,-0.0000090,0.0000036,-0.0000045,-0.0000019,0.0000104,-0.0000055,0.0000043,0.0000035,0.0000005,-0.0000007,0.0000251,-0.0000129
0.0000002,-0.0001826,0.0000020,-0.0000120,-0.0000785,-0.0000321,-0.0000276,0.0005995,0.0000156,-0.0000536,-0.0000432,0.0000407,-0.0001002,0.0000021,-0.0000156,-0.0000233,-0.0000113,-0.0000162,-0.0000089,0.0000060,-0.0000076,-0.0000018,-0.0000024,0.0000202,-0.0000052
0.0000012,-0.0005816,0.0000052,0.0000622,0.0000243,0.0000142,0.0000247,0.0000156,0.0006828,0.0000143,0.0000248,-0.0000270,-0.0000255,0.0000023,0.0000247,-0.0000221,0.0000122,-0.0000287,-0.0000143,-0.0000040,-0.0000040,-0.0000028,0.0000029,0.0001138,0.0000381
0.0000015,0.0000674,-0.0000027,-0.0000096,-0.0000316,-0.0000281,0.0000289,-0.0000536,0.0000143,0.0024694,-0.0008760,-0.0001628,-0.0000451,0.0000016,0.0000568,0.0000066,0.0000545,0.0000467,0.0000586,0.0000023,0.0000008,-0.0000029,0.0000124,0.0000782,0.0000804
-0.0000006,-0.0005916,0.0000066,0.0000448,-0.0000240,-0.0000052,0.0000025,-0.0000432,0.0000248,-0.0008760,0.0023970,-0.0002210,0.0000158,0.0000201,-0.0000001,0.0000697,-0.0000128,0.0000307,0.0000039,-0.0000017,0.0000016,-0.0000024,-0.0000109,0.0000656,0.0000335
0.0000011,-0.0002803,0.0000023,0.0000488,-0.0000064,0.0000046,-0.0000370,0.0000407,-0.0000270,-0.0001628,-0.0002210,0.0008089,-0.0000249,0.0000179,0.0000129,-0.0000160,0.0000240,-0.0000052,-0.0000039,0.0000023,-0.0000008,-0.0000053,0.0000062,-0.0000347,0.0000134
-0.0000003,-0.0000026,-0.0000043,0.0000347,-0.0000563,-0.0000593,0.0000073,-0.0001002,-0.0000255,-0.0000451,0.0000158,-0.0000249,0.0005648,0.0000018,0.0000181,-0.0000258,-0.0000119,-0.0000025,-0.0000377,0.0000098,-0.0000066,0.0000015,-0.0000098,0.0000494,-0.0000163
-0.0000001,-0.0003104,0.0000009,-0.0000115,0.0000184,-0.0000124,-0.0000090,0.0000021,0.0000023,0.0000016,0.0000201,0.0000179,0.0000018,0.0005235,0.0002582,-0.0000589,-0.0000588,-0.0000599,-0.0000401,-0.0000046,0.0000091,-0.0000005,0.0000004,0.0000278,0.0000333
-0.0000018,-0.0002587,0.0000011,-0.0000147,0.0000134,0.0000017,0.0000036,-0.0000156,0.0000247,0.0000568,-0.0000001,0.0000129,0.0000181,0.0002582,0.0009109,-0.0000597,-0.0000709,-0.0001571,-0.0001336,-0.0000169,0.0000244,-0.0000052,0.0000069,0.0000113,-0.0000106
-0.0000006,-0.0010135,0.0000001,-0.0000032,0.0000205,0.0000036,-0.0000045,-0.0000233,-0.0000221,0.0000066,0.0000697,-0.0000160,-0.0000258,-0.0000589,-0.0000597,0.0017158,0.0010216,0.0010265,0.0010222,-0.0000051,0.0000046,-0.0000011,0.0000044,0.0000473,0.0000467
-0.0000007,-0.0011019,0.0000009,0.0000078,0.0000129,-0.0000146,-0.0000019,-0.0000113,0.0000122,0.0000545,-0.0000128,0.0000240,-0.0000119,-0.0000588,-0.0000709,0.0010216,0.0015609,0.0010284,0.0010287,-0.0000067,0.0000081,-0.0000014,0.0000059,0.0000332,0.0000671
-0.0000015,-0.0010211,0.0000001,0.0000249,0.0000208,0.0000143,0.0000104,-0.0000162,-0.0000287,0.0000467,0.0000307,-0.0000052,-0.0000025,-0.0000599,-0.0001571,0.0010265,0.0010284,0.0014627,0.0010391,-0.0000030,-0.0000040,0.0000006,0.0000027,0.0000255,0.0000359
-0.0000002,-0.0011456,0.0000022,0.0000032,0.0000163,-0.0000108,-0.0000055,-0.0000089,-0.0000143,0.0000586,0.0000039,-0.0000039,-0.0000377,-0.0000401,-0.0001336,0.0010222,0.0010287,0.0010391,0.0014167,-0.0000002,-0.0000058,0.0000003,0.0000012,0.0000131,0.0000539
0.0000003,0.0000204,-0.0000001,0.0000041,0.0000047,0.0000084,0.0000043,0.0000060,-0.0000040,0.0000023,-0.0000017,0.0000023,0.0000098,-0.0000046,-0.0000169,-0.0000051,-0.0000067,-0.0000030,-0.0000002,0.0000281,-0.0000301,-0.0000016,0.0000052,-0.0000054,0.0000037
-0.0000004,-0.0000063,-0.0000006,-0.0000045,-0.0000080,-0.0000068,0.0000035,-0.0000076,-0.0000040,0.0000008,0.0000016,-0.0000008,-0.0000066,0.0000091,0.0000244,0.0000046,0.0000081,-0.0000040,-0.0000058,-0.0000301,0.0000630,-0.0000009,-0.0000068,-0.0000226,-0.0000154
0.0000000,-0.0000099,0.0000001,-0.0000004,0.0000007,0.0000001,0.0000005,-0.0000018,-0.0000028,-0.0000029,-0.0000024,-0.0000053,0.0000015,-0.0000005,-0.0000052,-0.0000011,-0.0000014,0.0000006,0.0000003,-0.0000016,-0.0000009,0.0000031,-0.0000071,0.0000038,0.0000012
0.0000001,0.0000311,-0.0000004,-0.0000041,-0.0000036,-0.0000061,-0.0000007,-0.0000024,0.0000029,0.0000124,-0.0000109,0.0000062,-0.0000098,0.0000004,0.0000069,0.0000044,0.0000059,0.0000027,0.0000012,0.0000052,-0.0000068,-0.0000071,0.0000420,-0.0000069,0.0000029
0.0000005,-0.0018724,0.0000116,-0.0000702,0.0001069,0.0000309,0.0000251,0.0000202,0.0001138,0.0000782,0.0000656,-0.0000347,0.0000494,0.0000278,0.0000113,0.0000473,0.0000332,0.0000255,0.0000131,-0.0000054,-0.0000226,0.0000038,-0.0000069,0.0013171,0.0009280
0.0000004,-0.0011956,0.0000041,-0.0001340,0.0000603,0.0000061,-0.0000129,-0.0000052,0.0000381,0.0000804,0.0000335,0.0000134,-0.0000163,0.0000333,-0.0000106,0.0000467,0.0000671,0.0000359,0.0000539,0.0000037,-0.0000154,0.0000012,0.0000029,0.0009280,0.0011459
