shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former
0.0009910,-0.0053327,0.0000382,0.0001359,0.0000531,-0.0001274,0.0002302,0.0000492,-0.0001795,-0.0000599,0.0001524,-0.0000503,-0.0000127,-0.0000045,0.0001404,0.0000528,-0.0000058,0.0000770,0.0000660,-0.0000960,0.0001009,-0.0000061,0.0000533,0.0002110,0.0001273
-0.0053327,0.2476255,-0.0023057,-0.0043160,0.0015901,-0.0002160,-0.0034986,-0.0055787,-0.0075005,0.0025751,-0.0115274,-0.0040797,0.0004342,-0.0077373,-0.0065479,-0.0185521,-0.0215404,-0.0195359,-0.0213787,0.0010534,-0.0011052,0.0000735,-0.0004620,-0.0404305,-0.0248074
0.0000382,-0.0023057,0.0000268,0.0000150,-0.0000566,-0.0000003,0.0000082,0.0000624,0.0000663,-0.0000626,0.0001208,0.0000289,-0.0000939,0.0000426,0.0000441,0.0000059,0.0000375,0.0000118,0.0000448,-0.0000073,-0.0000004,-0.0000011,0.0000030,0.0002784,0.0001170
0.0001359,-0.0043160,0.0000150,0.0086052,-0.0000523,-0.0012416,-0.0008500,-0.0003211,0.0010743,-0.0001202,0.0006836,0.0008096,0.0009102,-0.0001133,-0.0002195,-0.0000452,0.0002604,0.0004383,0.0002246,0.0000808,-0.0001066,-0.0000213,-0.0000310,-0.0011151,-0.0023901
0.0000531,0.0015901,-0.0000566,-0.0000523,0.0112345,-0.0021661,0.0005517,-0.0011917,0.0004380,-0.0000886,-0.0003886,0.0002286,-0.0009900,0.0004037,0.0003532,0.0001273,-0.0001498,0.0001769,0.0000437,0.0001572,-0.0002683,0.0000364,-0.0000513,0.0018639,0.0008044
-0.0001274,-0.0002160,-0.0000003,-0.0012416,-0.0021661,0.0102179,0.0000483,-0.0008078,0.0000383,0.0001725,-0.0002773,0.0000820,-0.0011557,-0.0002988,-0.0000647,0.0001036,-0.0003536,0.0002595,-0.0005298,0.0001148,-0.0000816,0.0000095,-0.0001592,0.0002098,-0.0001643
0.0002302,-0.0034986,0.0000082,-0.0008500,0.0005517,0.0000483,0.0111976,-0.0005558,0.0003913,0.0008818,-0.0005575,-0.0004398,0.0000278,-0.0002326,-0.0000246,-0.0002536,-0.0000571,0.0003324,-0.0002801,0.0000801,0.0000607,0.0000049,0.0000090,0.0004980,-0.0003334
0.0000492,-0.0055787,0.0000624,-0.0003211,-0.0011917,-0.0008078,-0.0005558,0.0102805,-0.0000253,-0.0010443,-0.0002959,0.0002412,-0.0017419,-0.0000820,-0.0001148,-0.0002478,-0.0003713,-0.0004809,-0.0001683,0.0000721,-0.0000393,-0.0000422,-0.0000147,0.0006946,0.0002819
-0.0001795,-0.0075005,0.0000663,0.0010743,0.0004380,0.0000383,0.0003913,-0.0000253,0.0157467,0.0003877,0.0005604,-0.0004902,-0.0002887,0.0000398,0.0002806,-0.0010747,-0.0002487,-0.0009984,-0.0007841,-0.0002268,-0.0000674,-0.0000284,0.0000219,0.0020992,0.0006073
-0.0000599,0.0025751,-0.0000626,-0.0001202,-0.0000886,0.0001725,0.0008818,-0.0010443,0.0003877,0.0407402,-0.0137683,-0.0020263,-0.0007497,-0.0000164,0.0008113,-0.0002953,-0.0000180,0.0000658,0.0007865,0.0001275,0.0000953,-0.0000003,0.0001126,0.0005950,0.0010818
0.0001524,-0.0115274,0.0001208,0.0006836,-0.0003886,-0.0002773,-0.0005575,-0.0002959,0.0005604,-0.0137683,0.0459183,-0.0045835,0.0003676,0.0000104,-0.0000689,0.0008748,-0.0005106,-0.0003126,-0.0005971,-0.0001275,0.0001931,-0.0000369,-0.0001475,0.0015475,0.0009859
-0.0000503,-0.0040797,0.0000289,0.0008096,0.0002286,0.0000820,-0.0004398,0.0002412,-0.0004902,-0.0020263,-0.0045835,0.0157784,-0.0007110,0.0004572,0.0008104,-0.0002694,0.0008305,0.0004492,0.0002443,0.0000833,-0.0000458,-0.0000982,0.0001037,-0.0008013,-0.0001196
-0.0000127,0.0004342,-0.0000939,0.0009102,-0.0009900,-0.0011557,0.0000278,-0.0017419,-0.0002887,-0.0007497,0.0003676,-0.0007110,0.0109992,0.0004290,0.0004474,-0.0006017,-0.0002061,-0.0001206,-0.0007961,0.0001532,-0.0000607,0.0000342,-0.0001929,0.0007693,-0.0003056
-0.0000045,-0.0077373,0.0000426,-0.0001133,0.0004037,-0.0002988,-0.0002326,-0.0000820,0.0000398,-0.0000164,0.0000104,0.0004572,0.0004290,0.0097370,0.0045029,-0.0013443,-0.0012832,-0.0011080,-0.0006896,-0.0001620,0.0002445,0.0000106,-0.0000430,0.0005632,0.0004527
0.0001404,-0.0065479,0.0000441,-0.0002195,0.0003532,-0.0000647,-0.0000246,-0.0001148,0.0002806,0.0008113,-0.0000689,0.0008104,0.0004474,0.0045029,0.0164425,-0.0016829,-0.0012765,-0.0029703,-0.0026662,-0.0003392,0.0004099,-0.0001134,0.0000797,0.0005895,-0.0004681
0.0000528,-0.0185521,0.0000059,-0.0000452,0.0001273,0.0001036,-0.0002536,-0.0002478,-0.0010747,-0.0002953,0.0008748,-0.0002694,-0.0006017,-0.0013443,-0.0016829,0.0300974,0.0183281,0.0184890,0.0183887,-0.0000796,0.0000631,-0.0000408,0.0001964,0.0012260,0.0011414
-0.0000058,-0.0215404,0.0000375,0.0002604,-0.0001498,-0.0003536,-0.0000571,-0.0003713,-0.0002487,-0.0000180,-0.0005106,0.0008305,-0.0002061,-0.0012832,-0.0012765,0.0183281,0.0290112,0.0184349,0.0183736,-0.0001497,0.0001660,-0.0000539,0.0001384,0.0012792,0.0013585
