VAR,DX_ED_C,DX_ED_O,DX_H_C,DX_H_O,DX_M_O,H_C_DX,H_C_M_O,H_O_DX,H_O_M_O
shape,0.496547,0.52038,32.17119,0.44912,25.241254,2.0323582,1.043894,2.0273227,1.009166
scale,282316.1,349.62024,10.28212,72123.12,4.6338907,2.5415504,3113.580443,1.96954,2512.101
age_dx,-0.014043,0.01612,-0.01617,0.01241,-0.1168357,0.0123988,-0.0385745,0.0126527,-0.0310604
sexM,0.021387,0.0083,-0.58982,-0.31979,-0.2658827,-0.0289869,-0.1096029,-0.0687345,-0.1550164
c_chf1,-0.82497,-0.45746,-1.41745,-0.17761,-0.6873432,0.1208181,0.0392577,0.0539784,-0.3087178
c_ihd1,-0.066443,-0.21057,-2.06694,-0.24819,-0.0341548,-0.0314437,-0.0107266,-0.0180829,0.0918541
c_cancer1,-0.118723,-0.32459,-2.75683,-0.98577,-1.1926704,0.0459356,-0.2921975,0.0580887,-0.2623856
c_dm1,-0.154047,-0.25723,-0.9513,-0.39337,-0.1204015,0.0830181,0.0671255,0.115665,-0.1031456
c_asthma1,-0.532142,-0.16174,-0.27019,0.0356,0.4220733,-0.0202108,0.1700819,-0.0559186,0.1743026
c_dementia1,-0.562204,-0.29334,-1.92327,-0.13316,-2.0668708,0.1175135,0.2127802,0.1054218,-0.1185006
c_depression1,0.226617,0.06199,-0.24223,0.11859,0.320132,0.0844535,-0.1405326,-0.0218685,0.2520603
c_anxiety1,0.034627,-0.20806,0.2626,0.30842,0.1665367,-0.0447023,0.0395612,-0.0058505,-0.0135325
c_htn1,-0.215525,-0.29564,-1.50437,-0.53784,0.0802697,-0.0468713,0.0153541,0.0286725,-0.0372541
rio_cat2.10-44,-0.611248,-0.21675,-0.3217,-0.21917,0.0104658,-0.0641844,-0.0875197,-0.049372,-0.1552243
rio_cat3.45+,-0.93376,-0.69936,-0.93345,-0.64079,0.9764229,-0.0115493,-0.0440165,-0.061219,0.1977227
deprivationQ2,-0.090441,-0.10992,-0.33939,0.06243,0.0610739,0.0581659,-0.1528613,-0.0100595,0.0789397
deprivationQ3,-0.166052,-0.21758,0.17854,0.12009,0.0210864,0.0143587,-0.0581814,-0.0077177,0.1289523
deprivationQ4,-0.320568,-0.28427,0.26071,0.26622,0.1619681,0.0195362,-0.1919204,0.0189467,-0.0363201
deprivationQ5,-0.296599,-0.42437,-0.036,0.18264,-0.0152123,0.0265911,-0.1870059,0.0454857,-0.0521406
ned_c,-0.317881,-0.04223,0.17299,0.1774,0.1280954,-0.0363978,0.0363942,-0.0227302,-0.0508291
nhosp_c,-0.210634,-0.04066,-1.05412,-0.08817,-0.6172316,0.0540399,-0.0475508,0.0396131,-0.0229413
ned_o,0.019254,-0.01899,0.33567,0.0687,0.0623187,-0.0008595,0.0115073,-0.0013974,0.0061841
nhosp_o,0.123747,-0.08406,0.00011,-0.30493,-0.297193,0.0109031,-0.0675483,0.0137943,-0.0159686
smoking_current,-1.036609,0.13081,-3.4843,0.13608,-0.8302762,0.040183,-0.3017482,0.0848441,-0.2774026
smoking_former,-0.700059,-0.00502,-2.5657,-0.04723,-0.4488473,0.0160595,-0.1621073,0.0135225,-0.249364
