meanlog,sdlog,age_dx,sexM,smokingY,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o
0.797191,0.009394,-0.005235,-0.023150,-0.126715,0.004411,-0.004809,-0.012974,-0.011743,-0.038169,0.000715,-0.029374,-0.024312,0.004508,-0.020879,-0.021401,-0.086721,-0.084501,-0.085916,-0.092721,0.002426,-0.004937,0.002770,0.001592
0.009394,0.000361,-0.000005,-0.000205,-0.000858,-0.000345,-0.000499,-0.000777,-0.000177,-0.000074,-0.000480,0.000065,0.000161,-0.000324,0.000006,-0.000121,-0.000190,-0.000020,-0.000036,-0.000077,0.000080,-0.000364,0.000127,-0.000002
-0.005235,-0.000005,0.000073,0.000059,0.000391,-0.000309,-0.000167,-0.000246,0.000077,0.000266,-0.000295,0.000415,0.000247,-0.000555,0.000045,0.000085,0.000031,0.000066,0.000080,0.000176,-0.000017,-0.000045,0.000001,-0.000037
-0.023150,-0.000205,0.000059,0.039239,-0.008574,-0.001373,-0.004555,-0.002540,-0.001491,0.005741,0.001151,0.002262,0.005238,0.001651,-0.000450,-0.001681,0.001410,0.002400,0.003625,0.003989,0.000040,0.000367,-0.000013,-0.000370
-0.126715,-0.000858,0.000391,-0.008574,0.093592,0.005273,0.001616,0.002153,0.000601,0.004761,0.005618,-0.002273,-0.000682,0.001204,0.000118,-0.000264,0.002656,0.000670,0.000709,-0.000370,-0.000038,-0.001103,-0.000285,0.000049
0.004411,-0.000345,-0.000309,-0.001373,0.005273,0.070458,-0.013807,0.002549,-0.007803,0.000711,-0.006037,0.000290,-0.000900,-0.003121,0.000812,0.000862,0.002189,0.000875,0.000908,0.001051,0.000800,-0.002194,0.000074,-0.000775
-0.004809,-0.000499,-0.000167,-0.004555,0.001616,-0.013807,0.051147,0.001281,-0.002500,0.000201,0.004184,-0.003220,-0.001034,-0.005700,-0.000846,0.000812,-0.000376,-0.001506,-0.000703,-0.001315,0.000804,-0.000334,-0.000245,-0.000623
-0.012974,-0.000777,-0.000246,-0.002540,0.002153,0.002549,0.001281,0.057938,-0.001967,0.001427,0.001741,-0.002166,-0.003069,0.000080,0.000212,0.001097,0.000776,0.000595,0.001097,0.001155,0.000457,0.000557,-0.000144,-0.000691
-0.011743,-0.000177,0.000077,-0.001491,0.000601,-0.007803,-0.002500,-0.001967,0.050810,-0.000747,-0.002432,-0.000739,0.001495,-0.008338,0.000494,-0.000589,-0.001249,-0.001329,-0.001725,-0.002169,0.000111,-0.000098,-0.000144,-0.000702
-0.038169,-0.000074,0.000266,0.005741,0.004761,0.000711,0.000201,0.001427,-0.000747,0.058714,-0.000986,0.000292,-0.002111,-0.000710,0.001330,0.003099,-0.000541,0.000923,-0.000203,-0.000103,-0.000693,-0.000347,-0.000309,0.000363
0.000715,-0.000480,-0.000295,0.001151,0.005618,-0.006037,0.004184,0.001741,-0.002432,-0.000986,0.198905,-0.070703,-0.013343,-0.001161,0.001323,-0.000550,-0.000387,-0.001197,0.001737,0.000517,0.001075,-0.002238,-0.000056,0.000648
-0.029374,0.000065,0.000415,0.002262,-0.002273,0.000290,-0.003220,-0.002166,-0.000739,0.000292,-0.070703,0.202745,-0.016651,-0.000928,-0.000016,0.001370,0.003462,-0.000341,0.002096,0.001276,-0.000543,0.001565,-0.000402,-0.000525
-0.024312,0.000161,0.000247,0.005238,-0.000682,-0.000900,-0.001034,-0.003069,0.001495,-0.002111,-0.013343,-0.016651,0.064823,-0.001100,0.001628,0.002607,-0.000803,0.000670,-0.001041,-0.000299,0.000085,-0.000113,-0.000378,0.000466
0.004508,-0.000324,-0.000555,0.001651,0.001204,-0.003121,-0.005700,0.000080,-0.008338,-0.000710,-0.001161,-0.000928,-0.001100,0.048388,0.000470,-0.000463,-0.000663,0.000386,-0.000309,-0.001013,0.000567,0.000425,-0.000068,-0.000434
-0.020879,0.000006,0.000045,-0.000450,0.000118,0.000812,-0.000846,0.000212,0.000494,0.001330,0.001323,-0.000016,0.001628,0.000470,0.045570,0.023402,-0.006521,-0.007257,-0.006374,-0.004428,-0.000648,0.000616,-0.000159,0.000311
-0.021401,-0.000121,0.000085,-0.001681,-0.000264,0.000862,0.000812,0.001097,-0.000589,0.003099,-0.000550,0.001370,0.002607,-0.000463,0.023402,0.071617,-0.006851,-0.008504,-0.012928,-0.009676,-0.001639,0.001727,-0.000919,0.001192
