shape,scale,age_dx,sexM,smokingY,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o
0.00003540,-0.00000024,-0.00000001,-0.00000017,0.00000014,-0.00000039,0.00000048,-0.00000021,0.00000031,0.00000006,-0.00000052,0.00000039,0.00000011,-0.00000001,-0.00000013,-0.00000035,-0.00000013,-0.00000030,-0.00000018,-0.00000018,0.00000003,-0.00000004,0.00000001,-0.00000006
-0.00000024,0.00220383,-0.00002120,-0.00007837,-0.00031987,0.00005420,0.00004097,0.00002958,-0.00003636,-0.00016475,0.00005261,-0.00011648,-0.00012670,0.00003291,-0.00007803,-0.00005086,-0.00031596,-0.00033069,-0.00031846,-0.00035128,0.00000239,0.00002162,0.00000091,-0.00001282
-0.00000001,-0.00002120,0.00000029,0.00000029,0.00000169,-0.00000117,-0.00000070,-0.00000085,0.00000044,0.00000133,-0.00000092,0.00000162,0.00000104,-0.00000196,0.00000007,0.00000005,-0.00000003,0.00000033,0.00000007,0.00000056,-0.00000007,-0.00000025,0.00000000,0.00000002
-0.00000017,-0.00007837,0.00000029,0.00016414,-0.00003850,-0.00000568,-0.00002129,-0.00001574,-0.00000825,0.00002414,-0.00000704,0.00000502,0.00002064,0.00000714,-0.00000423,-0.00000924,0.00000765,0.00001578,0.00001805,0.00002270,-0.00000048,0.00000230,-0.00000002,-0.00000015
0.00000014,-0.00031987,0.00000169,-0.00003850,0.00026528,0.00001570,-0.00000144,-0.00000456,-0.00000094,0.00001780,0.00001246,-0.00001710,0.00000062,0.00000306,0.00000155,-0.00000316,0.00001089,-0.00000042,0.00000091,0.00000075,0.00000069,-0.00000827,0.00000000,-0.00000047
-0.00000039,0.00005420,-0.00000117,-0.00000568,0.00001570,0.00029240,-0.00006392,-0.00000025,-0.00003465,0.00000448,-0.00002719,-0.00000963,0.00000176,-0.00001444,0.00000030,0.00000533,0.00000894,0.00000172,0.00001516,0.00000824,0.00000022,-0.00001090,0.00000013,-0.00000135
0.00000048,0.00004097,-0.00000070,-0.00002129,-0.00000144,-0.00006392,0.00021643,0.00000431,-0.00001166,-0.00000424,0.00001327,-0.00000570,-0.00000558,-0.00002491,-0.00000225,-0.00000008,-0.00000022,-0.00000574,-0.00000316,-0.00000544,0.00000270,-0.00000886,0.00000019,-0.00000125
-0.00000021,0.00002958,-0.00000085,-0.00001574,-0.00000456,-0.00000025,0.00000431,0.00026040,-0.00000381,-0.00000338,0.00000219,-0.00001545,-0.00000871,-0.00000378,0.00000258,0.00000439,-0.00000150,-0.00000044,0.00000275,0.00000246,0.00000365,-0.00000278,0.00000026,-0.00000131
0.00000031,-0.00003636,0.00000044,-0.00000825,-0.00000094,-0.00003465,-0.00001166,-0.00000381,0.00020365,-0.00000103,-0.00000743,-0.00000450,0.00000652,-0.00003672,0.00000216,0.00000167,-0.00000009,-0.00000580,-0.00001019,-0.00001262,-0.00000065,-0.00000262,0.00000004,-0.00000176
0.00000006,-0.00016475,0.00000133,0.00002414,0.00001780,0.00000448,-0.00000424,-0.00000338,-0.00000103,0.00025037,0.00000634,0.00000285,-0.00000986,-0.00000618,0.00000410,0.00001148,-0.00000159,0.00000301,0.00000301,0.00000214,-0.00000781,0.00000194,-0.00000031,0.00000141
-0.00000052,0.00005261,-0.00000092,-0.00000704,0.00001246,-0.00002719,0.00001327,0.00000219,-0.00000743,0.00000634,0.00095050,-0.00034568,-0.00005486,-0.00001383,0.00000907,0.00000244,0.00001268,-0.00000422,0.00001671,0.00001029,0.00000259,-0.00000662,0.00000066,-0.00000461
0.00000039,-0.00011648,0.00000162,0.00000502,-0.00001710,-0.00000963,-0.00000570,-0.00001545,-0.00000450,0.00000285,-0.00034568,0.00081138,-0.00006036,0.00001005,-0.00001052,-0.00000127,0.00001522,0.00001025,0.00002005,0.00001534,-0.00000118,0.00000276,-0.00000157,-0.00000179
0.00000011,-0.00012670,0.00000104,0.00002064,0.00000062,0.00000176,-0.00000558,-0.00000871,0.00000652,-0.00000986,-0.00005486,-0.00006036,0.00025461,0.00000050,0.00000742,0.00001326,0.00000290,0.00000906,0.00000198,-0.00000469,-0.00000066,0.00000073,-0.00000133,0.00000090
