VAR,DX_ED_C,DX_ED_O,DX_H_C,DX_H_O,DX_M_O,H_C_DX,H_C_M_O,H_O_DX,H_O_M_O
shape,0.4898,0.5222,30.812,0.44786,24.4587,2.002724234,1.0566,2.016063257,0.9999
scale,218913.6,398.3524,10.263,74039.47000,4.5383,2.67111349,1990.762,2.088325273,2786.401
age_dx,-0.011,0.0132,-0.004,0.01389,-0.1118,0.012114837,-0.0343,0.011892419,-0.0322
sexM,0.0328,0.0292,-0.596,-0.34519,-0.2715,-0.016836895,-0.2254,-0.062855161,-0.1999
smokingY,-0.7271,0.0522,-2.529,0.01204,-0.4489,0.028041165,-0.1314,0.023457736,-0.2761
c_chf,-0.8335,-0.4801,-1.618,-0.20295,-0.5956,0.109835763,-0.0398,0.06075622,-0.2979
c_ihd,-0.0041,-0.2544,-1.776,-0.26096,-0.0502,-0.039206272,0.0308,-0.039436918,0.1367
c_cancer,-0.1132,-0.3309,-2.787,-1.00947,-1.1992,0.081771066,-0.2251,0.053947201,-0.2707
c_dm,-0.1646,-0.2482,-0.814,-0.33884,-0.1734,0.073351331,0.1377,0.097874027,-0.0196
c_asthma,-0.4867,-0.1124,-0.203,0.16558,0.4922,-0.019987297,0.1588,-0.056983208,0.1758
c_dementia,-0.5263,-0.2481,-1.94,0.14110,-2.2773,0.121976537,0.3201,0.077174977,-0.1709
c_depression,0.0822,-0.0375,0.175,0.15093,0.3239,0.047138629,-0.1338,-0.022293381,0.2158
c_anxiety,0.0315,-0.2273,0.424,0.23158,0.0225,-0.026311117,0.0229,0.009172006,0.0117
c_htn,-0.2105,-0.3071,-1.281,-0.54990,0.0752,-0.046837074,-0.034,0.033846269,-0.0053
rio_cat2.10-44,-0.5857,-0.1819,-0.115,-0.25794,0.07,-0.080176841,-0.0808,-0.054309738,-0.1518
rio_cat3.45+,-0.9147,-0.6491,-0.805,-0.59226,0.8453,-0.044453884,0.0271,-0.07019637,0.0836
deprivationQ2,-0.1303,-0.0758,-0.527,-0.03645,-0.0265,0.048723437,-0.1075,0.000833303,0.0379
deprivationQ3,-0.1933,-0.1772,-0.1,-0.05955,-0.0009,0.034549186,-0.1155,0.023467923,0.0236
deprivationQ4,-0.3659,-0.2328,-0.147,0.14295,0.0232,0.030608786,-0.2031,0.039361275,0.0003
deprivationQ5,-0.2959,-0.3701,-0.377,0.05934,-0.1242,0.035966971,-0.1445,0.06137722,-0.0731
ned_c,-0.3466,-0.0433,0.178,0.17905,0.1019,-0.033012204,0.0297,-0.023608745,-0.0382
nhosp_c,-0.2236,-0.0386,-1.106,-0.05010,-0.5774,0.045629008,-0.0425,0.041102678,-0.0559
ned_o,0.0242,-0.0192,0.348,0.06038,0.0701,-0.002430754,0.0081,-0.001822178,0.0014
nhosp_o,0.1287,-0.0819,-0.006,-0.30002,-0.3123,0.01747415,-0.0549,0.016205525,-0.0142
