shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
0.000075375,-0.000438843,0.000000906,0.000000750,0.000032999,-0.000002608,-0.000011289,-0.000002291,0.000032526,0.000015820,-0.000017523,-0.000004314,0.000000109,0.000031791,0.000035493,0.000006474,0.000005931,0.000014545,0.000008031,0.000016935,0.000007050,-0.000003081,-0.000012753,-0.000000282,0.000002588,0.000001578,0.000001231
-0.000438843,0.045829300,-0.000451800,-0.001251807,0.000861259,0.000196426,0.000654900,-0.000725484,-0.002318132,0.000380925,-0.001702167,-0.001545661,0.000654280,-0.001843162,-0.001580045,-0.005812976,-0.005505039,-0.005668654,-0.005981288,-0.000112834,0.000239875,0.000006652,0.000250415,-0.021021610,-0.007418885,0.000309813,0.000087057
0.000000906,-0.000451800,0.000006286,0.000006439,-0.000022742,-0.000005425,-0.000017113,0.000008762,0.000014982,-0.000011472,0.000024134,0.000012991,-0.000029621,0.000005790,0.000005050,0.000002953,-0.000000243,0.000002513,0.000007554,-0.000000120,-0.000003445,0.000000137,-0.000003434,0.000230780,0.000053260,-0.000004298,-0.000001361
0.000000750,-0.001251807,0.000006439,0.002385134,-0.000180807,-0.000276167,-0.000151340,-0.000094177,0.000352375,0.000059147,0.000234330,0.000265593,0.000104078,-0.000022082,-0.000039321,0.000060662,0.000093070,0.000142155,0.000169278,-0.000008218,0.000020279,0.000000343,-0.000023573,-0.000258732,-0.000652412,-0.000001757,0.000000297
0.000032999,0.000861259,-0.000022742,-0.000180807,0.005492199,-0.000976619,0.000074640,-0.000570405,0.000195828,-0.000370991,-0.000015175,0.000032419,-0.000252498,0.000114515,0.000136550,0.000087588,0.000088687,0.000106877,0.000053444,0.000034628,-0.000096998,-0.000004758,-0.000066748,-0.000216814,0.000133311,0.000015097,0.000001840
-0.000002608,0.000196426,-0.000005425,-0.000276167,-0.000976619,0.003774857,0.000042798,-0.000181406,0.000021909,-0.000070621,-0.000055537,-0.000076681,-0.000344268,-0.000036698,0.000009196,-0.000040612,-0.000103450,-0.000021769,-0.000088928,0.000035850,-0.000075190,-0.000002544,-0.000047505,0.000332831,0.000008531,-0.000005500,-0.000001354
-0.000011289,0.000654900,-0.000017113,-0.000151340,0.000074640,0.000042798,0.004906361,-0.000196265,0.000026185,0.000182411,-0.000124302,-0.000196539,-0.000039872,-0.000042948,0.000071455,0.000065440,0.000106404,0.000119435,0.000096496,0.000010107,-0.000020827,0.000002928,-0.000043148,0.000227997,0.000016343,-0.000003997,-0.000002462
-0.000002291,-0.000725484,0.000008762,-0.000094177,-0.000570405,-0.000181406,-0.000196265,0.003604381,-0.000055197,-0.000236244,-0.000121614,0.000058673,-0.000517692,0.000062410,0.000017821,-0.000140775,-0.000049113,-0.000083543,-0.000130945,0.000032563,-0.000057792,-0.000004398,-0.000047143,0.000340824,0.000054257,-0.000006482,-0.000003770
0.000032526,-0.002318132,0.000014982,0.000352375,0.000195828,0.000021909,0.000026185,-0.000055197,0.003051551,0.000081301,-0.000068685,-0.000119107,-0.000081128,0.000047937,0.000211363,0.000010904,0.000079991,-0.000055047,-0.000031019,-0.000006103,-0.000037501,-0.000009361,-0.000012933,0.000194131,-0.000039302,0.000007221,0.000008737
0.000015820,0.000380925,-0.000011472,0.000059147,-0.000370991,-0.000070621,0.000182411,-0.000236244,0.000081301,0.017641670,-0.006553246,-0.000797814,-0.000215042,0.000059175,0.000128175,0.000036562,0.000138050,0.000197121,0.000234132,0.000031593,-0.000089368,-0.000005475,-0.000020623,-0.000073476,0.000566258,0.000006808,-0.000010725
-0.000017523,-0.001702167,0.000024134,0.000234330,-0.000015175,-0.000055537,-0.000124302,-0.000121614,-0.000068685,-0.006553246,0.013619530,-0.000934921,0.000034952,-0.000000471,0.000059768,0.000184183,-0.000069287,0.000098843,-0.000112607,0.000023642,-0.000048204,-0.000005927,-0.000050596,-0.000210865,-0.000244258,0.000001393,0.000001481
-0.000004314,-0.001545661,0.000012991,0.000265593,0.000032419,-0.000076681,-0.000196539,0.000058673,-0.000119107,-0.000797814,-0.000934921,0.003613663,-0.000068206,0.000120094,0.000123620,-0.000083749,-0.000047663,-0.000125491,-0.000018704,0.000016458,-0.000004908,-0.000018009,0.000017571,-0.000101419,0.000023733,0.000001868,0.000002748
0.000000109,0.000654280,-0.000029621,0.000104078,-0.000252498,-0.000344268,-0.000039872,-0.000517692,-0.000081128,-0.000215042,0.000034952,-0.000068206,0.002721869,-0.000039156,-0.000056825,-0.000018976,0.000058523,0.000026161,-0.000035080,0.000027393,-0.000001121,-0.000000035,-0.000029645,0.000395826,0.000004977,-0.000003329,-0.000000254
0.000031791,-0.001843162,0.000005790,-0.000022082,0.000114515,-0.000036698,-0.000042948,0.000062410,0.000047937,0.000059175,-0.000000471,0.000120094,-0.000039156,0.002923039,0.001665614,-0.000388997,-0.000441644,-0.000382944,-0.000283036,0.000001844,0.000038648,-0.000007005,0.000003466,0.000257975,-0.000035433,-0.000005252,0.000001301
0.000035493,-0.001580045,0.000005050,-0.000039321,0.000136550,0.000009196,0.000071455,0.000017821,0.000211363,0.000128175,0.000059768,0.000123620,-0.000056825,0.001665614,0.004031662,-0.000433516,-0.000584078,-0.000815414,-0.000609317,-0.000058880,0.000099211,-0.000020772,-0.000004116,0.000279638,-0.000132990,-0.000003404,0.000003735
0.000006474,-0.005812976,0.000002953,0.000060662,0.000087588,-0.000040612,0.000065440,-0.000140775,0.000010904,0.000036562,0.000184183,-0.000083749,-0.000018976,-0.000388997,-0.000433516,0.009184885,0.005730710,0.005757083,0.005731162,-0.000000416,-0.000015277,-0.000000810,-0.000000511,0.000270860,0.000049819,-0.000003003,0.000004710
0.000005931,-0.005505039,-0.000000243,0.000093070,0.000088687,-0.000103450,0.000106404,-0.000049113,0.000079991,0.000138050,-0.000069287,-0.000047663,0.000058523,-0.000441644,-0.000584078,0.005730710,0.008431771,0.005789282,0.005761713,-0.000010037,-0.000002692,0.000003155,-0.000013159,-0.000116300,-0.000001328,0.000000906,0.000002909
0.000014545,-0.005668654,0.000002513,0.000142155,0.000106877,-0.000021769,0.000119435,-0.000083543,-0.000055047,0.000197121,0.000098843,-0.000125491,0.000026161,-0.000382944,-0.000815414,0.005757083,0.005789282,0.007839233,0.005824382,-0.000009202,-0.000012189,-0.000003979,0.000007108,0.000052319,0.000031051,-0.000002806,-0.000000018
0.000008031,-0.005981288,0.000007554,0.000169278,0.000053444,-0.000088928,0.000096496,-0.000130945,-0.000031019,0.000234132,-0.000112607,-0.000018704,-0.000035080,-0.000283036,-0.000609317,0.005731162,0.005761713,0.005824382,0.007707996,0.000006915,-0.000007933,-0.000007395,-0.000010166,-0.000167192,0.000095098,0.000000451,-0.000001436
0.000016935,-0.000112834,-0.000000120,-0.000008218,0.000034628,0.000035850,0.000010107,0.000032563,-0.000006103,0.000031593,0.000023642,0.000016458,0.000027393,0.000001844,-0.000058880,-0.000000416,-0.000010037,-0.000009202,0.000006915,0.000121039,-0.000127807,-0.000014665,0.000030995,0.000031967,0.000005995,-0.000000473,0.000000714
0.000007050,0.000239875,-0.000003445,0.000020279,-0.000096998,-0.000075190,-0.000020827,-0.000057792,-0.000037501,-0.000089368,-0.000048204,-0.000004908,-0.000001121,0.000038648,0.000099211,-0.000015277,-0.000002692,-0.000012189,-0.000007933,-0.000127807,0.000344704,0.000008787,-0.000066891,-0.000077434,0.000000694,-0.000001270,-0.000002152
-0.000003081,0.000006652,0.000000137,0.000000343,-0.000004758,-0.000002544,0.000002928,-0.000004398,-0.000009361,-0.000005475,-0.000005927,-0.000018009,-0.000000035,-0.000007005,-0.000020772,-0.000000810,0.000003155,-0.000003979,-0.000007395,-0.000014665,0.000008787,0.000007460,-0.000017250,-0.000023728,-0.000009705,0.000000547,0.000000266
-0.000012753,0.000250415,-0.000003434,-0.000023573,-0.000066748,-0.000047505,-0.000043148,-0.000047143,-0.000012933,-0.000020623,-0.000050596,0.000017571,-0.000029645,0.000003466,-0.000004116,-0.000000511,-0.000013159,0.000007108,-0.000010166,0.000030995,-0.000066891,-0.000017250,0.000245024,-0.000029079,-0.000052005,0.000000152,0.000001543
