meanlog,sdlog,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
1.281964,0.011603,-0.010285,-0.034587,0.013855,-0.014030,-0.017848,-0.020215,-0.054647,0.005813,-0.041169,-0.030930,-0.004607,-0.033017,-0.033438,-0.111828,-0.106260,-0.104568,-0.115041,0.003304,-0.003888,0.003774,0.001861,-0.503447,-0.186800,0.006436,0.001320
0.011603,0.000485,0.000009,-0.000271,-0.000441,-0.000783,-0.001013,-0.000267,-0.000186,-0.000586,-0.000183,0.000093,-0.000511,-0.000086,-0.000208,-0.000188,0.000097,0.000151,0.000059,0.000098,-0.000435,0.000154,0.000008,0.000825,0.000031,-0.000051,-0.000034
-0.010285,0.000009,0.000148,0.000123,-0.000518,-0.000174,-0.000314,0.000149,0.000369,-0.000432,0.000475,0.000270,-0.000635,0.000086,0.000128,0.000030,0.000069,0.000067,0.000214,-0.000023,-0.000083,-0.000002,-0.000046,0.005666,0.001316,-0.000104,-0.000032
-0.034587,-0.000271,0.000123,0.053138,-0.002822,-0.005843,-0.002418,-0.001455,0.007846,0.000370,0.004591,0.006392,0.003192,-0.000834,-0.001798,0.001721,0.001974,0.003880,0.003674,0.000098,0.000277,-0.000061,-0.000489,-0.006228,-0.016253,-0.000029,0.000063
0.013855,-0.000441,-0.000518,-0.002822,0.100359,-0.017029,0.002404,-0.011775,0.002679,-0.005143,-0.001015,-0.000617,-0.004200,0.002390,0.002418,0.002171,-0.000014,0.000949,-0.000066,0.000886,-0.002482,0.000169,-0.001407,-0.004944,0.000719,0.000329,0.000116
-0.014030,-0.000783,-0.000174,-0.005843,-0.017029,0.068747,0.002563,-0.002408,0.000594,0.002610,-0.002263,-0.001197,-0.006999,-0.000656,0.000679,0.000740,-0.002659,-0.000214,-0.001979,0.001126,-0.000972,-0.000357,-0.000711,0.004549,-0.000609,0.000004,0.000055
-0.017848,-0.001013,-0.000314,-0.002418,0.002404,0.002563,0.077493,-0.002394,0.002181,0.003589,-0.002495,-0.003523,0.000470,0.000105,0.001742,0.000030,0.000024,0.000241,-0.000683,0.000445,0.000541,-0.000170,-0.000962,0.004536,0.001025,0.000022,0.000014
-0.020215,-0.000267,0.000149,-0.001455,-0.011775,-0.002408,-0.002394,0.069047,-0.000806,-0.003326,-0.001613,0.002241,-0.010803,0.000998,-0.001522,-0.002002,-0.001234,-0.002975,-0.003025,0.000154,-0.000404,-0.000237,-0.000879,0.003967,0.002548,-0.000030,-0.000080
-0.054647,-0.000186,0.000369,0.007846,0.002679,0.000594,0.002181,-0.000806,0.079602,0.000658,-0.000047,-0.002567,-0.001503,0.001534,0.004463,-0.001202,0.001161,-0.001392,-0.001421,-0.000968,-0.000272,-0.000467,0.000465,0.005996,-0.003595,0.000119,0.000243
0.005813,-0.000586,-0.000432,0.000370,-0.005143,0.002610,0.003589,-0.003326,0.000658,0.295902,-0.109717,-0.016883,-0.003033,0.002526,0.002979,-0.001906,-0.000304,0.001992,0.002068,0.000719,-0.000822,-0.000237,0.000263,-0.001623,0.008986,0.000188,-0.000042
