shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
0.0001320,-0.0005950,-0.0000017,0.0000471,-0.0000177,0.0000115,0.0000908,0.0000225,-0.0000064,-0.0000183,-0.0000059,-0.0000455,0.0000376,0.0000122,0.0000359,-0.0000126,-0.0000263,-0.0000477,-0.0000463,-0.0000388,-0.0000033,-0.0000145,0.0000391,-0.0002338,-0.0000008,0.0000050,-0.0000002
-0.0005950,0.0661375,-0.0006815,-0.0025556,0.0016709,0.0007959,0.0006772,-0.0008274,-0.0036959,0.0016312,-0.0023772,-0.0024920,0.0008901,-0.0023115,-0.0019569,-0.0072515,-0.0073126,-0.0072075,-0.0077242,0.0004014,0.0006261,0.0000559,-0.0001781,-0.0303089,-0.0103519,0.0004751,0.0001457
-0.0000017,-0.0006815,0.0000100,0.0000098,-0.0000296,-0.0000170,-0.0000301,0.0000062,0.0000259,-0.0000244,0.0000325,0.0000220,-0.0000537,0.0000046,0.0000061,-0.0000023,0.0000020,0.0000024,0.0000106,-0.0000035,-0.0000068,0.0000003,-0.0000019,0.0003672,0.0000820,-0.0000070,-0.0000021
0.0000471,-0.0025556,0.0000098,0.0041328,-0.0001592,-0.0005154,-0.0001562,-0.0001393,0.0006118,-0.0001222,0.0003051,0.0005084,0.0002169,-0.0000620,-0.0001505,0.0001371,0.0002028,0.0003031,0.0003810,-0.0000233,0.0000064,0.0000020,-0.0000331,-0.0004975,-0.0010486,-0.0000033,0.0000003
-0.0000177,0.0016709,-0.0000296,-0.0001592,0.0099005,-0.0017759,-0.0001753,-0.0010178,0.0002581,-0.0007010,-0.0000607,0.0000169,-0.0003685,0.0001918,0.0001650,-0.0000373,-0.0001743,0.0000337,-0.0000695,0.0000175,-0.0003894,0.0000103,-0.0000671,-0.0001465,-0.0000829,0.0000170,0.0000064
0.0000115,0.0007959,-0.0000170,-0.0005154,-0.0017759,0.0062418,0.0001295,-0.0002378,0.0000182,0.0002926,-0.0000451,-0.0001167,-0.0006518,-0.0001121,-0.0001161,0.0000641,-0.0001479,-0.0000061,-0.0001620,0.0001144,-0.0003340,0.0000002,-0.0000088,0.0002658,-0.0000120,-0.0000028,-0.0000026
0.0000908,0.0006772,-0.0000301,-0.0001562,-0.0001753,0.0001295,0.0063732,-0.0001312,-0.0000427,0.0001098,-0.0001866,-0.0003065,-0.0001093,0.0000417,0.0001300,-0.0000810,-0.0000879,-0.0000142,-0.0000893,0.0000679,-0.0001481,-0.0000050,-0.0000030,0.0001869,-0.0000201,-0.0000021,-0.0000034
0.0000225,-0.0008274,0.0000062,-0.0001393,-0.0010178,-0.0002378,-0.0001312,0.0056761,-0.0000693,0.0000831,-0.0000510,0.0001250,-0.0009301,0.0001333,-0.0000352,-0.0001302,-0.0001660,-0.0003185,-0.0003791,-0.0000024,-0.0001213,-0.0000052,-0.0000183,0.0002263,0.0001734,-0.0000012,-0.0000078
-0.0000064,-0.0036959,0.0000259,0.0006118,0.0002581,0.0000182,-0.0000427,-0.0000693,0.0062352,0.0002220,-0.0001070,-0.0001638,-0.0001100,0.0001875,0.0003123,-0.0000341,0.0000662,-0.0000226,-0.0000669,-0.0001807,-0.0000581,-0.0000152,0.0000445,0.0004708,-0.0000635,0.0000093,0.0000137
-0.0000183,0.0016312,-0.0000244,-0.0001222,-0.0007010,0.0002926,0.0001098,0.0000831,0.0002220,0.0341822,-0.0114903,-0.0015140,-0.0002738,0.0000400,0.0001887,0.0003023,-0.0000419,0.0002936,0.0003122,0.0001704,0.0000056,-0.0000367,-0.0002762,-0.0000602,0.0006050,0.0000036,-0.0000121
-0.0000059,-0.0023772,0.0000325,0.0003051,-0.0000607,-0.0000451,-0.0001866,-0.0000510,-0.0001070,-0.0114903,0.0245098,-0.0017929,0.0001868,-0.0000761,0.0001006,0.0004347,-0.0000133,0.0002740,0.0000059,0.0000502,0.0000473,-0.0000439,-0.0000890,-0.0008662,-0.0006019,0.0000109,0.0000027
-0.0000455,-0.0024920,0.0000220,0.0005084,0.0000169,-0.0001167,-0.0003065,0.0001250,-0.0001638,-0.0015140,-0.0017929,0.0070758,-0.0001399,0.0002825,0.0003459,-0.0000447,-0.0000402,-0.0001031,-0.0000265,-0.0000224,0.0000965,-0.0000337,0.0000108,-0.0001805,-0.0001555,0.0000023,0.0000079
0.0000376,0.0008901,-0.0000537,0.0002169,-0.0003685,-0.0006518,-0.0001093,-0.0009301,-0.0001100,-0.0002738,0.0001868,-0.0001399,0.0048951,0.0000295,-0.0000573,-0.0000629,0.0000248,-0.0000586,-0.0001286,0.0000395,-0.0000560,-0.0000034,0.0000098,0.0005857,-0.0001100,-0.0000057,0.0000016
0.0000122,-0.0023115,0.0000046,-0.0000620,0.0001918,-0.0001121,0.0000417,0.0001333,0.0001875,0.0000400,-0.0000761,0.0002825,0.0000295,0.0048340,0.0025384,-0.0006322,-0.0006427,-0.0006082,-0.0004055,-0.0001275,0.0000752,-0.0000122,0.0000036,0.0000808,-0.0000722,-0.0000038,0.0000008
0.0000359,-0.0019569,0.0000061,-0.0001505,0.0001650,-0.0001161,0.0001300,-0.0000352,0.0003123,0.0001887,0.0001006,0.0003459,-0.0000573,0.0025384,0.0072690,-0.0008591,-0.0008866,-0.0013267,-0.0010951,-0.0002743,0.0001629,-0.0000685,0.0001013,0.0000487,-0.0003630,0.0000000,0.0000063
-0.0000126,-0.0072515,-0.0000023,0.0001371,-0.0000373,0.0000641,-0.0000810,-0.0001302,-0.0000341,0.0003023,0.0004347,-0.0000447,-0.0000629,-0.0006322,-0.0008591,0.0130908,0.0076904,0.0077842,0.0077265,-0.0000110,-0.0000688,-0.0000136,0.0001130,-0.0001025,0.0000179,0.0000059,0.0000051
-0.0000263,-0.0073126,0.0000020,0.0002028,-0.0001743,-0.0001479,-0.0000879,-0.0001660,0.0000662,-0.0000419,-0.0000133,-0.0000402,0.0000248,-0.0006427,-0.0008866,0.0076904,0.0121325,0.0077839,0.0077502,-0.0000248,-0.0000264,-0.0000204,0.0001231,-0.0000064,-0.0000145,-0.0000014,0.0000017
-0.0000477,-0.0072075,0.0000024,0.0003031,0.0000337,-0.0000061,-0.0000142,-0.0003185,-0.0000226,0.0002936,0.0002740,-0.0001031,-0.0000586,-0.0006082,-0.0013267,0.0077842,0.0077839,0.0120102,0.0078971,-0.0000372,-0.0000396,-0.0000253,0.0001405,-0.0001511,0.0000604,-0.0000004,-0.0000033
-0.0000463,-0.0077242,0.0000106,0.0003810,-0.0000695,-0.0001620,-0.0000893,-0.0003791,-0.0000669,0.0003122,0.0000059,-0.0000265,-0.0001286,-0.0004055,-0.0010951,0.0077265,0.0077502,0.0078971,0.0114876,-0.0000096,-0.0001121,-0.0000301,0.0001417,-0.0004986,0.0001167,0.0000045,-0.0000030
-0.0000388,0.0004014,-0.0000035,-0.0000233,0.0000175,0.0001144,0.0000679,-0.0000024,-0.0001807,0.0001704,0.0000502,-0.0000224,0.0000395,-0.0001275,-0.0002743,-0.0000110,-0.0000248,-0.0000372,-0.0000096,0.0010229,-0.0006104,-0.0000367,0.0000723,0.0000154,-0.0000310,-0.0000018,0.0000008
-0.0000033,0.0006261,-0.0000068,0.0000064,-0.0003894,-0.0003340,-0.0001481,-0.0001213,-0.0000581,0.0000056,0.0000473,0.0000965,-0.0000560,0.0000752,0.0001629,-0.0000688,-0.0000264,-0.0000396,-0.0001121,-0.0006104,0.0015652,-0.0000062,-0.0000542,0.0000402,0.0000779,-0.0000086,-0.0000082
-0.0000145,0.0000559,0.0000003,0.0000020,0.0000103,0.0000002,-0.0000050,-0.0000052,-0.0000152,-0.0000367,-0.0000439,-0.0000337,-0.0000034,-0.0000122,-0.0000685,-0.0000136,-0.0000204,-0.0000253,-0.0000301,-0.0000367,-0.0000062,0.0000363,-0.0000693,-0.0000376,-0.0000355,0.0000010,0.0000013
0.0000391,-0.0001781,-0.0000019,-0.0000331,-0.0000671,-0.0000088,-0.0000030,-0.0000183,0.0000445,-0.0002762,-0.0000890,0.0000108,0.0000098,0.0000036,0.0001013,0.0001130,0.0001231,0.0001405,0.0001417,0.0000723,-0.0000542,-0.0000693,0.0002152,-0.0001124,0.0000353,0.0000017,-0.0000008
-0.0002338,-0.0303089,0.0003672,-0.0004975,-0.0001465,0.0002658,0.0001869,0.0002263,0.0004708,-0.0000602,-0.0008662,-0.0001805,0.0005857,0.0000808,0.0000487,-0.0001025,-0.0000064,-0.0001511,-0.0004986,0.0000154,0.0000402,-0.0000376,-0.0001124,0.0573475,0.0088948,-0.0010939,-0.0001028
-0.0000008,-0.0103519,0.0000820,-0.0010486,-0.0000829,-0.0000120,-0.0000201,0.0001734,-0.0000635,0.0006050,-0.0006019,-0.0001555,-0.0001100,-0.0000722,-0.0003630,0.0000179,-0.0000145,0.0000604,0.0001167,-0.0000310,0.0000779,-0.0000355,0.0000353,0.0088948,0.0182939,-0.0000710,-0.0003489
0.0000050,0.0004751,-0.0000070,-0.0000033,0.0000170,-0.0000028,-0.0000021,-0.0000012,0.0000093,0.0000036,0.0000109,0.0000023,-0.0000057,-0.0000038,0.0000000,0.0000059,-0.0000014,-0.0000004,0.0000045,-0.0000018,-0.0000086,0.0000010,0.0000017,-0.0010939,-0.0000710,0.0000245,0.0000021
-0.0000002,0.0001457,-0.0000021,0.0000003,0.0000064,-0.0000026,-0.0000034,-0.0000078,0.0000137,-0.0000121,0.0000027,0.0000079,0.0000016,0.0000008,0.0000063,0.0000051,0.0000017,-0.0000033,-0.0000030,0.0000008,-0.0000082,0.0000013,-0.0000008,-0.0001028,-0.0003489,0.0000021,0.0000113
