meanlog,sdlog,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
0.5662929,0.0101367,-0.0050876,-0.0126596,0.0043800,0.0015859,-0.0078020,-0.0069706,-0.0113689,-0.0087506,-0.0140744,-0.0097165,0.0038610,-0.0069361,0.0047889,-0.0278827,-0.0308313,-0.0274319,-0.0314833,0.0016504,-0.0029779,0.0008194,-0.0026421,-0.1987111,-0.0372703,0.0027649,0.0001066
0.0101367,0.0005584,-0.0000584,-0.0001512,-0.0001784,0.0000603,-0.0004276,0.0000265,0.0001676,-0.0008138,0.0000664,0.0000372,0.0001041,0.0000266,0.0006068,0.0000209,-0.0000153,0.0001003,0.0000504,0.0000910,-0.0002568,0.0000438,-0.0001298,-0.0002930,0.0004176,-0.0000021,-0.0000164
-0.0050876,-0.0000584,0.0000567,0.0000734,-0.0001146,-0.0000331,-0.0000039,0.0000813,0.0000801,-0.0000398,0.0002021,0.0000717,-0.0001800,0.0000109,-0.0000415,0.0000015,0.0000368,0.0000102,0.0000552,-0.0000116,0.0000071,-0.0000048,0.0000121,0.0021355,0.0003053,-0.0000338,-0.0000038
-0.0126596,-0.0001512,0.0000734,0.0164167,-0.0005338,-0.0018758,-0.0009202,-0.0003900,0.0021378,-0.0002745,0.0013132,0.0017860,0.0010822,-0.0004212,-0.0010476,0.0006059,0.0010018,0.0012864,0.0014917,-0.0000277,0.0000944,0.0000103,-0.0001318,-0.0012195,-0.0062340,-0.0000346,0.0000322
0.0043800,-0.0001784,-0.0001146,-0.0005338,0.0263159,-0.0052885,0.0004729,-0.0032834,0.0007064,-0.0014401,-0.0007790,-0.0001159,-0.0017729,0.0006055,0.0003767,-0.0006126,-0.0004584,0.0000996,-0.0002634,0.0003118,-0.0007479,-0.0000423,-0.0000421,-0.0016600,0.0004724,0.0000862,0.0000204
0.0015859,0.0000603,-0.0000331,-0.0018758,-0.0052885,0.0210816,0.0000982,-0.0010987,0.0000537,0.0003380,-0.0011588,-0.0001229,-0.0018868,-0.0003272,0.0000438,-0.0000576,-0.0009601,0.0002075,-0.0008172,0.0003362,-0.0006640,-0.0000078,-0.0000673,0.0032125,-0.0001192,-0.0000456,-0.0000019
-0.0078020,-0.0004276,-0.0000039,-0.0009202,0.0004729,0.0000982,0.0210325,-0.0009637,0.0001533,0.0014813,-0.0004060,-0.0009697,-0.0004488,0.0002638,0.0001380,-0.0008261,-0.0006172,-0.0002377,-0.0004704,0.0000955,0.0001066,-0.0000387,0.0000272,0.0029514,-0.0006090,-0.0000376,0.0000105
-0.0069706,0.0000265,0.0000813,-0.0003900,-0.0032834,-0.0010987,-0.0009637,0.0216692,-0.0000568,-0.0005471,0.0006866,0.0009718,-0.0030060,0.0003968,0.0002530,-0.0006667,-0.0007549,-0.0012713,-0.0010498,-0.0000087,-0.0002369,-0.0000065,-0.0001864,0.0033706,0.0012128,-0.0000512,-0.0000386
-0.0113689,0.0001676,0.0000801,0.0021378,0.0007064,0.0000537,0.0001533,-0.0000568,0.0286642,0.0001360,0.0005136,-0.0008371,-0.0001625,0.0005360,0.0011153,-0.0004405,0.0005661,0.0003695,0.0001551,-0.0003697,-0.0000598,-0.0000712,0.0001949,0.0023334,-0.0009024,0.0000113,0.0000442
-0.0087506,-0.0008138,-0.0000398,-0.0002745,-0.0014401,0.0003380,0.0014813,-0.0005471,0.0001360,0.0610514,-0.0271847,-0.0044058,-0.0012699,0.0005297,0.0006231,0.0010159,0.0004978,0.0015313,0.0020515,0.0000575,0.0003617,-0.0000819,-0.0000777,0.0003184,0.0023572,0.0000259,-0.0000342
