4:(Intercept),4:age_dx,4:sexM,4:c_chf1,4:c_ihd1,4:c_cancer1,4:c_dm1,4:c_asthma1,4:c_dementia1,4:c_depression1,4:c_anxiety1,4:c_htn1,4:rio_cat2.10-44,4:rio_cat3.45+,4:deprivationQ2,4:deprivationQ3,4:deprivationQ4,4:deprivationQ5,4:ned_c,4:nhosp_c,4:ned_o,4:nhosp_o,4:smoking_current,4:smoking_former,4:smoking_current:smk_time_dx,4:smoking_former:smk_time_dx,5:(Intercept),5:age_dx,5:sexM,5:c_chf1,5:c_ihd1,5:c_cancer1,5:c_dm1,5:c_asthma1,5:c_dementia1,5:c_depression1,5:c_anxiety1,5:c_htn1,5:rio_cat2.10-44,5:rio_cat3.45+,5:deprivationQ2,5:deprivationQ3,5:deprivationQ4,5:deprivationQ5,5:ned_c,5:nhosp_c,5:ned_o,5:nhosp_o,5:smoking_current,5:smoking_former,5:smoking_current:smk_time_dx,5:smoking_former:smk_time_dx,7:(Intercept),7:age_dx,7:sexM,7:c_chf1,7:c_ihd1,7:c_cancer1,7:c_dm1,7:c_asthma1,7:c_dementia1,7:c_depression1,7:c_anxiety1,7:c_htn1,7:rio_cat2.10-44,7:rio_cat3.45+,7:deprivationQ2,7:deprivationQ3,7:deprivationQ4,7:deprivationQ5,7:ned_c,7:nhosp_c,7:ned_o,7:nhosp_o,7:smoking_current,7:smoking_former,7:smoking_current:smk_time_dx,7:smoking_former:smk_time_dx
0.06136948,-0.00061540,-0.00083734,0.00049752,-0.00013167,0.00024445,-0.00108292,-0.00278289,0.00024208,-0.00344455,-0.00150921,0.00028360,-0.00202044,-0.00170184,-0.00661849,-0.00631314,-0.00626305,-0.00697053,-0.00014666,0.00041545,0.00000720,0.00016232,-0.03107087,-0.01004095,0.00042654,0.00008105,0.02235925,-0.00022673,-0.00036616,0.00012069,0.00006540,0.00019352,-0.00032379,-0.00121947,-0.00003351,-0.00111141,-0.00071349,0.00036962,-0.00087315,-0.00069604,-0.00287896,-0.00278713,-0.00281232,-0.00314440,-0.00000186,0.00017807,0.00000627,0.00006916,-0.01114307,-0.00419315,0.00015636,0.00003953,0.00538624,-0.00004957,-0.00001694,0.00006290,0.00000843,0.00014555,-0.00022453,-0.00043307,-0.00000507,0.00000853,-0.00036981,0.00051986,-0.00007628,-0.00021829,-0.00264331,-0.00225008,-0.00226989,-0.00251071,-0.00001679,0.00010577,-0.00004330,0.00001438,0.00593321,-0.00001126,-0.00010190,0.00000412
-0.00061540,0.00000805,0.00000205,-0.00001925,-0.00000297,-0.00001551,0.00001250,0.00001947,-0.00001298,0.00004216,0.00001344,-0.00002857,0.00000791,0.00000707,0.00000551,0.00000273,0.00000474,0.00001458,-0.00000090,-0.00000255,-0.00000017,-0.00000316,0.00032570,0.00006681,-0.00000542,-0.00000118,-0.00022902,0.00000315,0.00000044,-0.00000671,-0.00000336,-0.00000803,0.00000337,0.00000809,-0.00000328,0.00001584,0.00000628,-0.00001379,0.00000220,0.00000053,0.00000174,0.00000116,0.00000284,0.00000685,-0.00000130,-0.00000074,-0.00000004,-0.00000152,0.00012394,0.00003149,-0.00000214,-0.00000059,-0.00005246,0.00000124,-0.00000280,-0.00000597,-0.00000234,-0.00000779,0.00000256,0.00000055,0.00000005,-0.00000010,0.00000339,-0.00001519,-0.00000577,-0.00000360,0.00000101,-0.00000306,-0.00000117,0.00000146,-0.00000116,-0.00000015,0.00000054,-0.00000124,-0.00005150,-0.00000770,0.00000057,-0.00000023
-0.00083734,0.00000205,0.00276054,-0.00023461,-0.00030047,-0.00026690,-0.00014204,0.00031473,0.00007234,0.00032198,0.00030618,0.00019080,-0.00000835,-0.00008707,-0.00000216,0.00004262,0.00005906,0.00001028,-0.00000680,0.00001023,0.00000331,-0.00003996,-0.00054439,-0.00083284,0.00000176,-0.00000168,-0.00040112,0.00000112,0.00117520,-0.00011216,-0.00012946,-0.00008052,-0.00009455,0.00013538,0.00005674,0.00011914,0.00012802,0.00006241,-0.00000257,-0.00005097,0.00001413,0.00003597,0.00004475,0.00003678,-0.00000601,0.00001571,-0.00000080,-0.00001241,-0.00022158,-0.00030656,0.00000082,-0.00000134,-0.00034442,0.00000090,0.00110225,-0.00007903,-0.00012094,-0.00006771,-0.00008455,0.00012931,0.00000036,-0.00000098,0.00011421,0.00004904,-0.00000716,-0.00005437,-0.00000957,-0.00001716,0.00000306,0.00000482,-0.00001211,0.00003460,-0.00000311,-0.00001437,-0.00026981,-0.00030478,0.00000219,-0.00000021
0.00049752,-0.00001925,-0.00023461,0.00553241,-0.00103287,0.00020535,-0.00064786,0.00022834,-0.00030610,-0.00006709,0.00000269,-0.00035830,0.00004432,0.00008835,0.00007978,0.00012602,0.00011739,0.00011443,0.00004014,-0.00008533,0.00000176,-0.00002384,0.00011144,0.00028632,0.00001214,0.00000438,0.00006998,-0.00000624,-0.00012145,0.00281683,-0.00047904,0.00008560,-0.00031010,0.00011278,-0.00009462,-0.00002027,-0.00002291,-0.00014811,-0.00001559,0.00000026,0.00006893,0.00005593,0.00006135,0.00007154,0.00000995,-0.00002610,-0.00000202,-0.00000534,0.00015163,0.00014185,0.00000377,0.00000177,-0.00001569,-0.00000318,-0.00013252,0.00260120,-0.00048347,0.00007207,-0.00030483,0.00006895,0.00000015,0.00000003,-0.00002854,-0.00015629,-0.00006690,-0.00015090,-0.00001423,0.00002261,0.00002443,0.00005538,-0.00001011,0.00001503,-0.00000413,0.00001038,0.00001180,0.00007523,0.00000644,0.00000469
-0.00013167,-0.00000297,-0.00030047,-0.00103287,0.00406048,0.00003579,-0.00023005,0.00012599,-0.00024731,0.00001115,-0.00004584,-0.00033248,0.00000346,0.00013146,-0.00003679,-0.00021133,-0.00005910,-0.00014026,0.00005015,-0.00006721,-0.00000904,-0.00004838,0.00049138,-0.00006336,-0.00000807,0.00000101,0.00004720,-0.00000303,-0.00013108,-0.00047993,0.00187676,0.00004322,-0.00012806,0.00003263,-0.00016079,0.00007311,-0.00003579,-0.00016546,-0.00000037,0.00006891,0.00000557,-0.00004637,-0.00000954,-0.00003609,0.00002985,-0.00004255,-0.00000402,-0.00001834,0.00013642,-0.00002461,-0.00000238,0.00000041,0.00005964,-0.00000257,-0.00011847,-0.00045857,0.00179756,0.00003191,-0.00012535,0.00002104,-0.00000024,0.00000022,-0.00001927,-0.00016766,-0.00002126,0.00004862,0.00001792,-0.00004274,-0.00001219,-0.00002137,0.00002478,-0.00004512,-0.00000376,-0.00002502,0.00005594,-0.00002687,-0.00000081,0.00000026
0.00024445,-0.00001551,-0.00026690,0.00020535,0.00003579,0.00516814,-0.00035014,0.00009314,0.00038926,-0.00005367,-0.00036246,0.00000628,-0.00008004,0.00015121,0.00023385,0.00023853,0.00024101,0.00021754,-0.00000589,0.00000776,-0.00000360,-0.00000239,0.00053572,0.00017506,-0.00000807,-0.00000227,0.00007227,-0.00000664,-0.00007232,0.00009746,0.00004620,0.00237628,-0.00014405,0.00002156,0.00018354,-0.00006593,-0.00016170,0.00001608,-0.00005408,0.00000197,0.00013761,0.00012330,0.00011395,0.00011752,-0.00000695,-0.00000023,-0.00000070,0.00000556,0.00021387,0.00005319,-0.00000325,-0.00000119,0.00023568,-0.00000852,-0.00007081,0.00005089,0.00002640,0.00223479,-0.00013900,0.00003239,-0.00000066,0.00000102,-0.00016511,0.00002175,-0.00003159,0.00009535,0.00015836,0.00012957,0.00013084,0.00013019,0.00000288,-0.00002459,0.00000111,0.00001010,0.00021018,0.00000358,-0.00000393,-0.00000088
-0.00108292,0.00001250,-0.00014204,-0.00064786,-0.00023005,-0.00035014,0.00393630,-0.00000406,-0.00036090,-0.00017681,0.00009239,-0.00053797,0.00007825,0.00009066,-0.00024879,-0.00010695,-0.00007163,-0.00019243,0.00002418,-0.00003424,-0.00000285,-0.00005039,0.00048345,-0.00013367,-0.00000840,0.00000191,-0.00039223,0.00000418,-0.00010383,-0.00030253,-0.00012766,-0.00014526,0.00179369,-0.00001252,-0.00013068,-0.00012122,0.00002050,-0.00024546,0.00005615,0.00002616,-0.00008989,-0.00002708,-0.00000882,-0.00004601,0.00001596,-0.00001524,-0.00000209,-0.00001638,0.00020462,-0.00008419,-0.00000376,0.00000179,-0.00008504,0.00000118,-0.00009299,-0.00029815,-0.00012179,-0.00013467,0.00171033,-0.00000866,0.00000045,-0.00000028,0.00000334,-0.00023250,0.00003087,0.00000099,-0.00008903,-0.00002573,-0.00004253,-0.00007887,0.00001453,-0.00002652,-0.00000110,-0.00001964,-0.00006331,-0.00012512,0.00000082,0.00000151
-0.00278289,0.00001947,0.00031473,0.00022834,0.00012599,0.00009314,-0.00000406,0.00365035,0.00015118,0.00006094,-0.00014272,-0.00013037,0.00004916,0.00020866,0.00007734,0.00020832,-0.00005835,0.00007791,0.00000038,-0.00004699,-0.00002230,0.00002322,0.00033211,-0.00003309,0.00000720,0.00001003,-0.00123094,0.00000864,0.00013866,0.00010322,0.00004018,0.00002421,-0.00000944,0.00142705,0.00006182,0.00001179,-0.00005832,-0.00005531,0.00004535,0.00012517,0.00002337,0.00007827,-0.00004972,0.00003238,-0.00000100,-0.00003250,-0.00000886,0.00000865,0.00013385,0.00005862,0.00000409,0.00000403,-0.00051730,0.00000145,0.00012480,0.00012329,0.00002773,0.00003099,0.00000043,0.00133230,0.00000032,-0.00000129,-0.00007426,-0.00005800,-0.00000239,0.00005776,-0.00000559,0.00002388,-0.00004645,-0.00001533,-0.00000422,0.00000468,-0.00001085,0.00001275,-0.00051727,-0.00016536,0.00001355,0.00000663
0.00024208,-0.00001298,0.00007234,-0.00030610,-0.00024731,0.00038926,-0.00036090,0.00015118,0.01856579,-0.00665839,-0.00108322,-0.00034581,-0.00004572,0.00018691,-0.00000366,0.00041769,0.00025333,0.00049794,0.00002393,-0.00005803,-0.00001739,0.00006518,-0.00011368,0.00086632,0.00001301,-0.00001108,-0.00017646,-0.00000166,0.00003801,-0.00004701,-0.00015884,0.00018374,-0.00010954,0.00004365,0.01039192,-0.00392844,-0.00059982,-0.00016804,-0.00009802,-0.00001201,0.00009075,0.00030419,0.00025556,0.00032272,0.00003277,-0.00005661,-0.00001815,0.00002260,-0.00030314,0.00028268,0.00001154,-0.00000293,0.00013905,-0.00000664,0.00006266,-0.00019260,-0.00009963,0.00015724,-0.00014198,0.00008722,-0.00000179,0.00000124,-0.00040174,-0.00012925,0.00005290,0.00016582,0.00003096,0.00019087,0.00013595,0.00021808,0.00002935,-0.00007159,-0.00000472,0.00001850,0.00002443,0.00032422,0.00000295,-0.00000598
-0.00344455,0.00004216,0.00032198,-0.00006709,0.00001115,-0.00005367,-0.00017681,0.00006094,-0.00665839,0.01528997,-0.00106296,0.00001960,0.00016667,0.00015860,0.00008811,-0.00008126,0.00005862,-0.00030252,-0.00000042,-0.00002194,-0.00002198,-0.00004324,0.00082434,0.00010554,-0.00001262,-0.00000245,-0.00111802,0.00001506,0.00011088,-0.00002281,0.00006797,-0.00005057,-0.00012561,0.00000185,-0.00371011,0.00717885,-0.00039588,0.00002076,0.00008189,0.00006898,-0.00002104,-0.00013890,0.00001589,-0.00016099,0.00001797,-0.00003166,-0.00001085,-0.00001650,0.00030324,0.00002582,-0.00000725,-0.00000309,-0.00034232,0.00000545,0.00011669,-0.00004507,0.00000091,-0.00003801,-0.00009888,0.00001766,0.00000101,-0.00000211,-0.00038362,-0.00003150,0.00009482,0.00012811,0.00002341,-0.00006153,0.00001539,-0.00013194,0.00001234,-0.00004597,-0.00000131,-0.00003397,-0.00032683,-0.00005640,0.00000389,-0.00000129
