,EDO_HC,EDO_HO,EDO_MO
Intercept,-5.728957725,-3.532652257,-7.982205941
age_dx,0.033860147,0.026642761,0.02181064
sexM,0.054120009,0.068378865,0.568525549
c_chf1,0.570976001,0.287207596,0.420251219
c_ihd1,0.132665966,0.104573305,0.125289363
c_cancer1,0.055515636,0.055072072,-0.008894275
c_dm1,0.243300709,0.252032448,0.093577831
c_asthma1,0.12226377,-0.10604966,0.102489013
c_dementia1,0.349128038,0.081392753,0.635327911
c_depression1,-0.009325142,-0.002179795,-0.658900127
c_anxiety1,-0.102531887,-0.079410271,-0.295458626
c_htn1,0.149042443,0.151127062,0.357741225
rio_cat2.10-44,-0.200317325,-0.190192343,0.186980721
rio_cat3.45+,-0.431246012,-0.430190595,0.251871169
deprivationQ2,-0.054764153,-0.079211035,-0.397219318
deprivationQ3,-0.092613201,-0.124811235,-0.155504955
deprivationQ4,0.013980434,-0.084547579,-0.07039898
deprivationQ5,0.059678914,-0.106352999,-0.257829159
ned_c,-0.031925051,-0.075875631,0.001559606
nhosp_c,0.322266078,0.113835726,0.320550527
ned_o,-0.068290727,-0.03452619,-0.10367733
nhosp_o,0.073413422,0.163498263,0.192087591
smoking_current,0.172224234,0.079124522,-0.638003811
smoking_former,-0.224239044,-0.181192219,-0.731022108
smoking_current:smk_time_dx,0.011952837,0.000636872,0.021408951
smoking_former:smk_time_dx,0.019307184,0.005790802,0.02493788
