4:(Intercept),4:age_dx,4:sexM,4:c_chf1,4:c_ihd1,4:c_cancer1,4:c_dm1,4:c_asthma1,4:c_dementia1,4:c_depression1,4:c_anxiety1,4:c_htn1,4:rio_cat2.10-44,4:rio_cat3.45+,4:deprivationQ2,4:deprivationQ3,4:deprivationQ4,4:deprivationQ5,4:ned_c,4:nhosp_c,4:ned_o,4:nhosp_o,4:smoking_current,4:smoking_former,4:smoking_current:smk_time_dx,4:smoking_former:smk_time_dx,5:(Intercept),5:age_dx,5:sexM,5:c_chf1,5:c_ihd1,5:c_cancer1,5:c_dm1,5:c_asthma1,5:c_dementia1,5:c_depression1,5:c_anxiety1,5:c_htn1,5:rio_cat2.10-44,5:rio_cat3.45+,5:deprivationQ2,5:deprivationQ3,5:deprivationQ4,5:deprivationQ5,5:ned_c,5:nhosp_c,5:ned_o,5:nhosp_o,5:smoking_current,5:smoking_former,5:smoking_current:smk_time_dx,5:smoking_former:smk_time_dx,7:(Intercept),7:age_dx,7:sexM,7:c_chf1,7:c_ihd1,7:c_cancer1,7:c_dm1,7:c_asthma1,7:c_dementia1,7:c_depression1,7:c_anxiety1,7:c_htn1,7:rio_cat2.10-44,7:rio_cat3.45+,7:deprivationQ2,7:deprivationQ3,7:deprivationQ4,7:deprivationQ5,7:ned_c,7:nhosp_c,7:ned_o,7:nhosp_o,7:smoking_current,7:smoking_former,7:smoking_current:smk_time_dx,7:smoking_former:smk_time_dx
0.04058919,-0.00041687,-0.00102080,0.00081112,-0.00009842,0.00028494,-0.00079972,-0.00171824,0.00032865,-0.00170125,-0.00115550,-0.00003316,-0.00091220,-0.00098529,-0.00396100,-0.00399530,-0.00406198,-0.00430581,-0.00003921,0.00026905,-0.00002377,0.00005797,-0.02127403,-0.00582404,0.00030797,0.00006071,0.00213147,-0.00002197,-0.00006654,0.00002520,0.00001176,0.00002665,-0.00003444,-0.00013212,-0.00000729,-0.00007327,-0.00009052,0.00002949,-0.00006522,-0.00004171,-0.00030119,-0.00029865,-0.00030119,-0.00032576,0.00000690,0.00000615,-0.00000006,0.00000333,-0.00107442,-0.00030991,0.00001631,0.00000311,0.00302183,-0.00003160,-0.00010684,0.00004775,-0.00000675,0.00004070,-0.00001545,-0.00017828,0.00002485,-0.00000004,-0.00012373,0.00004404,-0.00010160,-0.00012589,-0.00037965,-0.00038595,-0.00039743,-0.00045695,0.00001489,0.00002039,-0.00000102,0.00000847,-0.00153593,-0.00042556,0.00002385,0.00000443
-0.00041687,0.00000543,0.00000565,-0.00001613,-0.00000149,-0.00000891,0.00000984,0.00001190,-0.00000936,0.00002009,0.00000898,-0.00001863,0.00000242,0.00000680,0.00000280,0.00000363,0.00000484,0.00000826,0.00000029,-0.00000286,-0.00000021,-0.00000082,0.00023177,0.00004249,-0.00000391,-0.00000086,-0.00002218,0.00000031,0.00000029,-0.00000072,-0.00000034,-0.00000076,0.00000048,0.00000104,-0.00000004,0.00000108,0.00000074,-0.00000147,0.00000005,0.00000005,0.00000012,0.00000019,0.00000020,0.00000046,-0.00000013,-0.00000007,0.00000000,-0.00000008,0.00001259,0.00000246,-0.00000023,-0.00000005,-0.00003124,0.00000043,0.00000060,-0.00000124,-0.00000020,-0.00000108,0.00000025,0.00000136,-0.00000072,0.00000016,0.00000099,-0.00000210,0.00000026,0.00000097,0.00000015,0.00000044,0.00000058,0.00000111,-0.00000017,-0.00000020,-0.00000002,-0.00000015,0.00001824,0.00000372,-0.00000033,-0.00000007
-0.00102080,0.00000565,0.00185705,-0.00013820,-0.00017442,-0.00013405,-0.00003174,0.00028788,-0.00008686,0.00021083,0.00018216,0.00010741,-0.00003321,-0.00007301,0.00006959,0.00009858,0.00014847,0.00015899,0.00000671,-0.00000694,0.00000136,-0.00001216,-0.00017533,-0.00066205,-0.00000321,0.00000228,-0.00006682,0.00000030,0.00012931,-0.00000927,-0.00001246,-0.00000602,-0.00000802,0.00002210,0.00000084,0.00001035,0.00001389,0.00000502,-0.00000441,-0.00000404,0.00000389,0.00000715,0.00001051,0.00001546,-0.00000029,0.00000193,-0.00000022,-0.00000008,-0.00001801,-0.00003508,-0.00000002,0.00000008,-0.00014336,0.00000097,0.00016788,-0.00000017,-0.00001343,-0.00001078,-0.00000793,0.00003211,0.00000878,0.00000665,0.00001359,0.00000756,-0.00000876,-0.00000991,0.00000640,0.00000890,0.00001467,0.00002364,-0.00000275,0.00000253,0.00000001,-0.00000009,-0.00000757,-0.00004989,-0.00000012,0.00000051
0.00081112,-0.00001613,-0.00013820,0.00269058,-0.00052445,0.00003764,-0.00035505,0.00010770,-0.00016645,-0.00009804,-0.00002221,-0.00018110,0.00004883,0.00006846,0.00000797,-0.00005339,0.00001386,-0.00001468,0.00003771,-0.00009004,0.00000249,-0.00002344,-0.00015963,0.00008580,0.00000962,0.00000201,0.00003266,-0.00000084,-0.00000797,0.00028437,-0.00004743,-0.00000257,-0.00002673,0.00001260,-0.00001561,-0.00000627,-0.00000359,-0.00001044,0.00000445,0.00000430,0.00000751,0.00000177,0.00000614,0.00000577,0.00000082,-0.00000850,-0.00000007,-0.00000218,-0.00000080,0.00000380,0.00000058,0.00000020,0.00003610,-0.00000102,-0.00000777,0.00035131,-0.00005857,-0.00000508,-0.00003570,0.00001018,-0.00000709,0.00000310,-0.00001012,-0.00001015,0.00000238,0.00000274,0.00000224,-0.00000425,0.00000129,0.00000128,0.00000306,-0.00001666,0.00000093,-0.00000305,-0.00000820,0.00000826,0.00000100,0.00000023
-0.00009842,-0.00000149,-0.00017442,-0.00052445,0.00223419,0.00002003,-0.00007917,0.00000810,0.00005422,-0.00011059,-0.00002707,-0.00025249,-0.00004309,-0.00000917,0.00002855,-0.00006823,0.00006052,-0.00005073,0.00003143,-0.00006379,0.00000157,-0.00003176,0.00030154,-0.00000699,-0.00000447,-0.00000104,0.00000908,-0.00000033,-0.00001226,-0.00004630,0.00018845,0.00000691,-0.00000644,-0.00000220,-0.00000235,-0.00000092,-0.00000399,-0.00002260,-0.00000120,-0.00000109,0.00000548,-0.00000267,0.00000479,0.00000145,0.00000267,-0.00000814,0.00000008,-0.00000047,0.00001137,-0.00000578,-0.00000021,0.00000000,-0.00000967,-0.00000016,-0.00001446,-0.00005767,0.00024022,0.00000829,-0.00000925,0.00000294,-0.00000950,0.00001420,-0.00000250,-0.00002977,-0.00000278,0.00000010,0.00000999,-0.00000553,0.00000761,0.00000525,0.00000447,-0.00001336,0.00000031,-0.00000146,0.00002836,-0.00000959,-0.00000059,0.00000013
0.00028494,-0.00000891,-0.00013405,0.00003764,0.00002003,0.00290581,-0.00009506,0.00003686,0.00013091,-0.00004098,-0.00009363,-0.00005753,0.00001392,0.00006750,-0.00009701,-0.00004112,-0.00000942,-0.00004985,0.00001738,-0.00001316,0.00000115,-0.00003092,0.00018794,0.00003273,-0.00000205,-0.00000191,0.00002626,-0.00000076,-0.00000568,-0.00000130,0.00000707,0.00023830,-0.00000504,-0.00000017,-0.00000113,-0.00000248,-0.00000633,-0.00000400,0.00000331,0.00000056,-0.00000364,-0.00000429,-0.00000182,-0.00000017,0.00000302,-0.00000323,0.00000010,-0.00000189,0.00000089,0.00000208,0.00000005,-0.00000027,0.00003880,-0.00000107,-0.00001150,-0.00000665,0.00000808,0.00030102,0.00000186,0.00000134,0.00000393,-0.00000330,-0.00000683,-0.00000656,0.00000828,0.00000012,-0.00000448,-0.00000300,-0.00000458,-0.00000227,0.00000323,-0.00000841,0.00000050,-0.00000186,-0.00000791,0.00000765,0.00000037,-0.00000042
-0.00079972,0.00000984,-0.00003174,-0.00035505,-0.00007917,-0.00009506,0.00219816,0.00000229,-0.00010015,-0.00002068,0.00010380,-0.00037770,0.00001358,-0.00003123,-0.00011436,-0.00008467,-0.00013251,-0.00012508,-0.00000165,-0.00000679,-0.00000305,-0.00003224,0.00025946,0.00008405,-0.00000409,-0.00000407,-0.00004012,0.00000052,-0.00000834,-0.00002434,-0.00000640,-0.00000506,0.00017758,-0.00000057,0.00000438,-0.00000747,0.00000556,-0.00002807,0.00000206,-0.00000226,-0.00000545,-0.00000178,-0.00000852,-0.00000959,0.00000004,-0.00000176,-0.00000033,-0.00000164,0.00000982,-0.00000251,-0.00000014,-0.00000002,-0.00001605,0.00000028,-0.00001056,-0.00003727,-0.00000913,0.00000224,0.00023361,0.00000079,0.00000587,-0.00000925,0.00000683,-0.00003566,0.00000126,-0.00000414,-0.00000454,-0.00000589,-0.00001749,-0.00001865,-0.00000248,-0.00000427,0.00000055,-0.00000406,0.00000803,-0.00000996,-0.00000017,-0.00000002
-0.00171824,0.00001190,0.00028788,0.00010770,0.00000810,0.00003686,0.00000229,0.00267612,0.00006224,0.00003592,-0.00011013,-0.00001203,0.00004801,0.00015732,-0.00007522,0.00007681,-0.00000873,-0.00002694,-0.00003932,0.00001769,-0.00001316,0.00002460,0.00014798,-0.00008236,0.00000369,0.00000538,-0.00011977,0.00000089,0.00002189,0.00000975,-0.00000211,0.00000021,-0.00000138,0.00017117,0.00000360,-0.00000436,-0.00000126,-0.00000320,0.00000626,0.00001427,-0.00000411,0.00000510,-0.00000443,-0.00000207,-0.00000414,-0.00000396,-0.00000044,0.00000151,0.00000859,0.00000140,0.00000035,0.00000035,-0.00018771,0.00000147,0.00003074,0.00001070,0.00000162,0.00000169,-0.00000008,0.00023761,0.00000335,-0.00001767,-0.00000455,-0.00000123,0.00001167,0.00002281,-0.00001032,0.00000265,-0.00000532,-0.00000331,-0.00000958,-0.00000269,-0.00000071,0.00000171,0.00004067,-0.00000122,0.00000001,0.00000065
0.00032865,-0.00000936,-0.00008686,-0.00016645,0.00005422,0.00013091,-0.00010015,0.00006224,0.00893046,-0.00360212,-0.00054972,-0.00014701,0.00008838,0.00012630,-0.00000312,0.00005208,0.00012987,0.00013814,0.00000603,-0.00002348,0.00000233,-0.00000781,0.00037545,0.00047015,-0.00000437,-0.00000737,0.00000530,-0.00000021,-0.00000108,-0.00001700,-0.00000230,-0.00000135,0.00000311,0.00000494,0.00096049,-0.00038043,-0.00004640,-0.00000752,0.00000426,0.00000317,0.00001224,0.00000945,0.00001860,0.00001632,0.00000182,-0.00000462,-0.00000021,-0.00000767,-0.00000038,0.00001947,0.00000024,-0.00000044,0.00003202,-0.00000090,0.00000403,0.00000281,-0.00000547,0.00000477,0.00001118,0.00000293,0.00131990,-0.00049464,-0.00006837,-0.00000925,-0.00000404,-0.00000729,0.00001466,0.00001225,0.00001686,0.00000848,0.00000364,-0.00000919,0.00000060,-0.00000685,-0.00005886,0.00002046,0.00000169,-0.00000021
-0.00170125,0.00002009,0.00021083,-0.00009804,-0.00011059,-0.00004098,-0.00002068,0.00003592,-0.00360212,0.00946268,-0.00076568,0.00006916,-0.00002006,0.00001573,0.00022193,-0.00002864,0.00011525,-0.00002312,-0.00003009,0.00000945,-0.00000789,-0.00002461,-0.00032215,-0.00014710,0.00000839,0.00000335,-0.00007203,0.00000104,0.00001126,-0.00000487,-0.00000145,-0.00000260,-0.00000895,-0.00000497,-0.00037592,0.00064232,-0.00004715,0.00000534,-0.00000401,0.00000107,0.00000716,-0.00001057,0.00000879,-0.00000075,0.00000149,-0.00000124,-0.00000026,-0.00000226,-0.00002792,-0.00001710,0.00000034,0.00000005,-0.00004242,0.00000066,0.00001197,-0.00001237,0.00000405,-0.00000224,-0.00001210,-0.00000705,-0.00049295,0.00088975,-0.00005176,0.00000550,-0.00000128,0.00000561,0.00002428,-0.00000691,0.00001176,-0.00000355,0.00000057,-0.00000826,0.00000154,-0.00000381,-0.00004103,-0.00002896,0.00000016,0.00000007
