shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
0.0001065,0.0000053,-0.0000001,-0.0000011,-0.0000003,0.0000009,-0.0000006,0.0000002,0.0000013,0.0000015,-0.0000006,0.0000011,-0.0000003,-0.0000001,-0.0000018,-0.0000006,-0.0000006,-0.0000015,-0.0000002,0.0000003,-0.0000004,0.0000000,0.0000001,0.0000005,-0.0000001,0.0000000,0.0000000
0.0000053,0.0108897,-0.0001078,-0.0002251,0.0001670,-0.0001201,-0.0000862,-0.0001975,-0.0005443,0.0000808,-0.0005876,-0.0002187,-0.0000186,-0.0003251,-0.0002670,-0.0010559,-0.0010757,-0.0010489,-0.0011356,0.0000230,-0.0000121,-0.0000045,0.0000241,-0.0054538,-0.0015713,0.0000727,0.0000083
-0.0000001,-0.0001078,0.0000014,0.0000013,-0.0000043,0.0000005,-0.0000008,0.0000022,0.0000046,-0.0000028,0.0000065,0.0000015,-0.0000041,0.0000011,0.0000012,0.0000006,0.0000005,0.0000004,0.0000021,-0.0000002,-0.0000005,0.0000000,-0.0000003,0.0000568,0.0000100,-0.0000009,-0.0000001
-0.0000011,-0.0002251,0.0000013,0.0004743,-0.0000326,-0.0000579,-0.0000396,-0.0000123,0.0000634,-0.0000098,0.0000450,0.0000491,0.0000349,-0.0000113,-0.0000146,-0.0000026,0.0000081,0.0000253,0.0000032,0.0000042,-0.0000046,-0.0000004,-0.0000042,-0.0000762,-0.0001527,0.0000001,0.0000005
-0.0000003,0.0001670,-0.0000043,-0.0000326,0.0007320,-0.0001310,0.0000291,-0.0000794,0.0000276,-0.0000316,-0.0000235,-0.0000035,-0.0000567,0.0000183,0.0000134,0.0000200,0.0000143,0.0000205,0.0000167,0.0000049,-0.0000083,0.0000009,-0.0000039,-0.0000247,0.0000180,0.0000027,0.0000011
0.0000009,-0.0001201,0.0000005,-0.0000579,-0.0001310,0.0005773,0.0000117,-0.0000320,0.0000147,-0.0000287,-0.0000050,0.0000037,-0.0000588,-0.0000119,0.0000021,0.0000049,-0.0000149,0.0000152,-0.0000111,0.0000084,-0.0000068,0.0000001,-0.0000060,0.0000978,-0.0000054,-0.0000014,0.0000004
-0.0000006,-0.0000862,-0.0000008,-0.0000396,0.0000291,0.0000117,0.0007537,-0.0000269,0.0000228,0.0000287,0.0000024,-0.0000388,0.0000076,-0.0000088,0.0000036,-0.0000040,-0.0000028,0.0000107,-0.0000057,0.0000043,0.0000037,0.0000003,-0.0000005,0.0001211,0.0000120,-0.0000019,-0.0000006
0.0000002,-0.0001975,0.0000022,-0.0000123,-0.0000794,-0.0000320,-0.0000269,0.0005999,0.0000139,-0.0000535,-0.0000434,0.0000400,-0.0001002,0.0000019,-0.0000157,-0.0000237,-0.0000117,-0.0000165,-0.0000087,0.0000059,-0.0000074,-0.0000019,-0.0000023,0.0000445,0.0000187,-0.0000005,-0.0000006
0.0000013,-0.0005443,0.0000046,0.0000634,0.0000276,0.0000147,0.0000228,0.0000139,0.0006892,0.0000128,0.0000261,-0.0000243,-0.0000250,0.0000034,0.0000256,-0.0000193,0.0000137,-0.0000270,-0.0000146,-0.0000038,-0.0000045,-0.0000025,0.0000028,0.0000619,-0.0000624,0.0000010,0.0000028
0.0000015,0.0000808,-0.0000028,-0.0000098,-0.0000316,-0.0000287,0.0000287,-0.0000535,0.0000128,0.0024707,-0.0008765,-0.0001627,-0.0000454,0.0000010,0.0000563,0.0000052,0.0000542,0.0000457,0.0000588,0.0000023,0.0000008,-0.0000029,0.0000124,0.0000464,0.0001031,0.0000007,-0.0000006
