shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
0.0009900,-0.0054689,0.0000397,0.0001470,0.0000544,-0.0001215,0.0002294,0.0000435,-0.0001556,-0.0000746,0.0001564,-0.0000472,-0.0000086,-0.0000002,0.0001423,0.0000696,-0.0000086,0.0000827,0.0000585,-0.0000943,0.0000971,-0.0000052,0.0000526,0.0005623,-0.0001502,-0.0000067,0.0000075
-0.0054689,0.2974070,-0.0028925,-0.0050812,0.0033022,-0.0013049,-0.0045863,-0.0054494,-0.0075885,0.0025786,-0.0108939,-0.0034325,0.0002574,-0.0077618,-0.0063851,-0.0192749,-0.0214286,-0.0201352,-0.0210186,0.0012323,-0.0011166,0.0001462,-0.0005484,-0.1302856,-0.0266053,0.0016879,-0.0000078
0.0000397,-0.0028925,0.0000337,0.0000237,-0.0000778,0.0000118,0.0000208,0.0000620,0.0000643,-0.0000618,0.0001128,0.0000207,-0.0000916,0.0000419,0.0000416,0.0000138,0.0000375,0.0000192,0.0000422,-0.0000096,-0.0000001,-0.0000021,0.0000041,0.0013425,0.0001673,-0.0000200,-0.0000007
0.0001470,-0.0050812,0.0000237,0.0086234,-0.0000182,-0.0012384,-0.0008123,-0.0003034,0.0011320,-0.0001292,0.0006763,0.0007995,0.0009162,-0.0001321,-0.0002223,-0.0000395,0.0001672,0.0004143,0.0001650,0.0000745,-0.0001118,-0.0000178,-0.0000314,0.0000980,-0.0033791,-0.0000223,0.0000269
0.0000544,0.0033022,-0.0000778,-0.0000182,0.0112780,-0.0021598,0.0005577,-0.0011978,0.0004883,-0.0000942,-0.0003699,0.0002674,-0.0009878,0.0004119,0.0003563,0.0001201,-0.0001493,0.0001339,0.0000488,0.0001650,-0.0002667,0.0000394,-0.0000504,-0.0012986,0.0000125,0.0000593,0.0000182
-0.0001215,-0.0013049,0.0000118,-0.0012384,-0.0021598,0.0102230,0.0000160,-0.0008213,0.0000372,0.0001345,-0.0002942,0.0001283,-0.0011457,-0.0002597,-0.0000414,0.0001937,-0.0002675,0.0003061,-0.0005315,0.0001101,-0.0000863,0.0000114,-0.0001618,0.0018730,-0.0003295,-0.0000307,0.0000057
0.0002294,-0.0045863,0.0000208,-0.0008123,0.0005577,0.0000160,0.0112344,-0.0005445,0.0003587,0.0009427,-0.0006881,-0.0004395,0.0000238,-0.0002037,0.0000059,-0.0002144,-0.0000308,0.0003513,-0.0002452,0.0000703,0.0000702,0.0000017,0.0000127,0.0024925,0.0002071,-0.0000377,-0.0000130
0.0000435,-0.0054494,0.0000620,-0.0003034,-0.0011978,-0.0008213,-0.0005445,0.0102714,-0.0000339,-0.0010012,-0.0002857,0.0002250,-0.0017460,-0.0000992,-0.0001041,-0.0003021,-0.0003857,-0.0005319,-0.0001884,0.0000797,-0.0000476,-0.0000423,-0.0000201,0.0006190,0.0006739,0.0000009,-0.0000114
-0.0001556,-0.0075885,0.0000643,0.0011320,0.0004883,0.0000372,0.0003587,-0.0000339,0.0158361,0.0003053,0.0005368,-0.0003913,-0.0002696,0.0001114,0.0003919,-0.0010288,-0.0002263,-0.0009565,-0.0008281,-0.0002402,-0.0000544,-0.0000242,0.0000285,0.0017063,-0.0012231,0.0000078,0.0000487
-0.0000746,0.0025786,-0.0000618,-0.0001292,-0.0000942,0.0001345,0.0009427,-0.0010012,0.0003053,0.0406215,-0.0138971,-0.0020108,-0.0007458,-0.0000592,0.0007755,-0.0003072,0.0000427,0.0000785,0.0008059,0.0001236,0.0001082,-0.0000052,0.0001116,0.0010892,0.0016225,-0.0000104,-0.0000151
0.0001564,-0.0108939,0.0001128,0.0006763,-0.0003699,-0.0002942,-0.0006881,-0.0002857,0.0005368,-0.0138971,0.0460037,-0.0045730,0.0002894,0.0000142,-0.0000638,0.0010296,-0.0004187,-0.0002418,-0.0004855,-0.0001180,0.0001906,-0.0000347,-0.0001466,0.0003337,0.0006236,0.0000227,0.0000092
-0.0000472,-0.0034325,0.0000207,0.0007995,0.0002674,0.0001283,-0.0004395,0.0002250,-0.0003913,-0.0020108,-0.0045730,0.0157908,-0.0006607,0.0004533,0.0008748,-0.0003196,0.0007371,0.0003943,0.0001458,0.0000925,-0.0000605,-0.0000932,0.0001009,-0.0024139,-0.0010529,0.0000314,0.0000241
-0.0000086,0.0002574,-0.0000916,0.0009162,-0.0009878,-0.0011457,0.0000238,-0.0017460,-0.0002696,-0.0007458,0.0002894,-0.0006607,0.0110033,0.0004243,0.0004212,-0.0006448,-0.0003206,-0.0001530,-0.0008557,0.0001593,-0.0000633,0.0000366,-0.0001933,0.0012245,-0.0007587,-0.0000092,0.0000124
-0.0000002,-0.0077618,0.0000419,-0.0001321,0.0004119,-0.0002597,-0.0002037,-0.0000992,0.0001114,-0.0000592,0.0000142,0.0004533,0.0004243,0.0097112,0.0044755,-0.0012724,-0.0012277,-0.0010161,-0.0006257,-0.0001562,0.0002357,0.0000115,-0.0000449,0.0005012,0.0000140,0.0000013,0.0000119
0.0001423,-0.0063851,0.0000416,-0.0002223,0.0003563,-0.0000414,0.0000059,-0.0001041,0.0003919,0.0007755,-0.0000638,0.0008748,0.0004212,0.0044755,0.0164197,-0.0016254,-0.0012324,-0.0029128,-0.0026400,-0.0003327,0.0003932,-0.0001128,0.0000844,0.0001945,-0.0006490,0.0000079,0.0000049
0.0000696,-0.0192749,0.0000138,-0.0000395,0.0001201,0.0001937,-0.0002144,-0.0003021,-0.0010288,-0.0003072,0.0010296,-0.0003196,-0.0006448,-0.0012724,-0.0016254,0.0300562,0.0182622,0.0184352,0.0183009,-0.0000926,0.0000769,-0.0000360,0.0001909,0.0023363,0.0004891,-0.0000206,0.0000186
-0.0000086,-0.0214286,0.0000375,0.0001672,-0.0001493,-0.0002675,-0.0000308,-0.0003857,-0.0002263,0.0000427,-0.0004187,0.0007371,-0.0003206,-0.0012277,-0.0012324,0.0182622,0.0289092,0.0183560,0.0182979,-0.0001678,0.0001838,-0.0000531,0.0001417,0.0012818,0.0014846,0.0000001,-0.0000024
0.0000827,-0.0201352,0.0000192,0.0004143,0.0001339,0.0003061,0.0003513,-0.0005319,-0.0009565,0.0000785,-0.0002418,0.0003943,-0.0001530,-0.0010161,-0.0029128,0.0184352,0.0183560,0.0259531,0.0185636,-0.0000836,-0.0000600,-0.0000326,0.0001962,0.0021482,0.0008312,-0.0000215,0.0000081
0.0000585,-0.0210186,0.0000422,0.0001650,0.0000488,-0.0005315,-0.0002452,-0.0001884,-0.0008281,0.0008059,-0.0004855,0.0001458,-0.0008557,-0.0006257,-0.0026400,0.0183009,0.0182979,0.0185636,0.0255714,0.0000380,-0.0001716,-0.0000279,0.0001959,0.0005033,0.0018129,0.0000093,-0.0000146
-0.0000943,0.0012323,-0.0000096,0.0000745,0.0001650,0.0001101,0.0000703,0.0000797,-0.0002402,0.0001236,-0.0001180,0.0000925,0.0001593,-0.0001562,-0.0003327,-0.0000926,-0.0001678,-0.0000836,0.0000380,0.0006177,-0.0005510,-0.0000221,0.0000752,-0.0005196,-0.0000648,0.0000073,0.0000018
0.0000971,-0.0011166,-0.0000001,-0.0001118,-0.0002667,-0.0000863,0.0000702,-0.0000476,-0.0000544,0.0001082,0.0001906,-0.0000605,-0.0000633,0.0002357,0.0003932,0.0000769,0.0001838,-0.0000600,-0.0001716,-0.0005510,0.0010116,-0.0000348,-0.0000636,-0.0001696,-0.0000687,-0.0000036,-0.0000043
-0.0000052,0.0001462,-0.0000021,-0.0000178,0.0000394,0.0000114,0.0000017,-0.0000423,-0.0000242,-0.0000052,-0.0000347,-0.0000932,0.0000366,0.0000115,-0.0001128,-0.0000360,-0.0000531,-0.0000326,-0.0000279,-0.0000221,-0.0000348,0.0000693,-0.0001378,-0.0000985,-0.0001103,0.0000030,0.0000032
0.0000526,-0.0005484,0.0000041,-0.0000314,-0.0000504,-0.0001618,0.0000127,-0.0000201,0.0000285,0.0001116,-0.0001466,0.0001009,-0.0001933,-0.0000449,0.0000844,0.0001909,0.0001417,0.0001962,0.0001959,0.0000752,-0.0000636,-0.0001378,0.0006174,0.0000775,0.0001749,-0.0000032,-0.0000009
