shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
0.0007556001,-0.0048091060,0.0000325373,0.0000891221,0.0002131253,-0.0000952358,0.0001991214,0.0000915523,-0.0000908783,0.0001866365,-0.0001816987,-0.0000107420,0.0000430052,0.0000700528,-0.0000367406,-0.0000534382,-0.0000671397,0.0000256757,0.0001167904,0.0000048837,0.0000362935,-0.0000056536,0.0000304303,0.0005082492,-0.0001602303,-0.0000058015,0.0000086073
-0.0048091060,0.2046243000,-0.0019705290,-0.0046219170,0.0015579510,-0.0002754144,-0.0023542730,-0.0048790700,-0.0072858120,0.0000093337,-0.0042587490,-0.0049903780,-0.0022983030,-0.0041988730,-0.0030120400,-0.0131401300,-0.0127423600,-0.0130977300,-0.0154472100,-0.0003770967,0.0009932311,0.0001565820,-0.0010004290,-0.0878633200,-0.0185183900,0.0012133770,0.0000939518
0.0000325373,-0.0019705290,0.0000229886,0.0000236521,-0.0000404617,-0.0000081353,-0.0000006176,0.0000545403,0.0000503703,-0.0000166913,0.0000573020,0.0000319974,-0.0000471999,0.0000086128,0.0000139509,0.0000037245,0.0000077954,0.0000028000,0.0000272968,0.0000002268,-0.0000078451,-0.0000009244,0.0000045421,0.0009299326,0.0001421540,-0.0000143322,-0.0000016279
0.0000891221,-0.0046219170,0.0000236521,0.0070625760,-0.0002192726,-0.0006494300,-0.0006835301,-0.0001245037,0.0011355230,-0.0005569864,0.0006398224,0.0008878960,0.0006269642,-0.0001053131,-0.0004876584,0.0001267220,0.0003047409,0.0005102879,0.0006453683,-0.0000400466,0.0000449140,-0.0000050436,0.0000098367,-0.0007801423,-0.0027741360,-0.0000127506,0.0000139286
0.0002131253,0.0015579510,-0.0000404617,-0.0002192726,0.0092580190,-0.0020723100,0.0000356774,-0.0013692590,0.0001399542,-0.0008127805,-0.0004422591,0.0000128686,-0.0006953824,-0.0000004471,0.0002569964,0.0000546105,-0.0002550146,0.0003744283,-0.0000399549,0.0000865104,-0.0004224458,0.0000037862,-0.0000289123,-0.0001414513,0.0000733939,0.0000196722,0.0000047684
-0.0000952358,-0.0002754144,-0.0000081353,-0.0006494300,-0.0020723100,0.0082997890,0.0002260394,-0.0002499703,-0.0001187344,0.0002272440,-0.0003776518,0.0002087047,-0.0007956080,-0.0001442393,-0.0000184897,0.0005645912,0.0001169228,0.0004203087,0.0002234590,0.0001022867,-0.0003064781,0.0000085807,-0.0000784822,0.0014436530,0.0001977303,-0.0000170462,-0.0000037272
0.0001991214,-0.0023542730,-0.0000006176,-0.0006835301,0.0000356774,0.0002260394,0.0082817200,-0.0002036856,-0.0000570858,0.0004381216,0.0000430255,-0.0002487074,-0.0001430139,0.0002011576,0.0002018942,0.0000555081,0.0000404777,0.0002003640,0.0000548091,0.0000885290,-0.0000124770,0.0000060192,-0.0000523844,0.0016382720,0.0000521033,-0.0000246066,-0.0000031778
0.0000915523,-0.0048790700,0.0000545403,-0.0001245037,-0.0013692590,-0.0002499703,-0.0002036856,0.0077702120,0.0002605784,0.0000744338,-0.0001082216,0.0004971593,-0.0013500690,0.0003090874,-0.0000429496,-0.0003675929,-0.0005584598,-0.0005808640,-0.0005190953,0.0000014344,-0.0000619979,0.0000009665,-0.0001097730,0.0013174740,0.0001757044,-0.0000157968,-0.0000108547
-0.0000908783,-0.0072858120,0.0000503703,0.0011355230,0.0001399542,-0.0001187344,-0.0000570858,0.0002605784,0.0133192700,-0.0002413687,0.0007801651,-0.0002340416,0.0000123842,0.0003977270,0.0007532925,0.0000502657,0.0002391461,0.0003467040,0.0000636911,-0.0002205453,0.0000593310,-0.0000286291,0.0001033408,0.0012200700,-0.0002764260,0.0000061526,0.0000215544
0.0001866365,0.0000093337,-0.0000166913,-0.0005569864,-0.0008127805,0.0002272440,0.0004381216,0.0000744338,-0.0002413687,0.0306777800,-0.0122817000,-0.0022940270,-0.0006864130,0.0004240777,0.0006914320,0.0001719188,-0.0002883456,0.0005969615,0.0000546112,0.0000891731,-0.0001155899,0.0000083922,-0.0000386078,0.0021615970,0.0010907190,-0.0000425557,-0.0000158137
