,EDC_HC,EDC_HO,EDC_MO
Intercept,-3.129553,-4.436722,-8.785723
age_dx,0.03469374,0.02882584,0.0411499
sexM,-0.06896738,0.153183,0.33479374
smokingY,0.4089984,-0.191221,0.3580582
c_chf,0.3633357,0.5788504,0.7937518
c_ihd,0.06379814,0.07826098,-0.05810275
c_cancer,0.1146547,0.3291905,0.5678348
c_dm,0.06403488,0.17933972,0.30170864
c_asthma,-0.10616412,0.01458942,-0.11222388
c_dementia,0.3785681,0.8117094,0.7752487
c_depression,0.1420711,-0.3521956,-5.5024537
c_anxiety,-0.11671957,-0.02622872,0.87687984
c_htn,0.0713787,0.1397363,0.0565954
rio_cat2.10-44,-0.3745581,-0.6370454,0.2029307
rio_cat3.45+,-0.8428556,-1.1126808,-0.9625177
deprivationQ2,-0.0842896,-0.0173919,-0.7258317
deprivationQ3,0.03185894,-0.17185791,-0.79048859
deprivationQ4,-0.043472253,0.006991813,-1.36613317
deprivationQ5,-0.03542366,-0.03486751,-0.3589656
ned_c,-0.11178004,-0.18793862,-0.07039186
nhosp_c,0.3473922,0.2538025,0.3325331
ned_o,-0.04483174,-0.02634345,-0.14577697
nhosp_o,0.1076211,0.1935318,0.2484878
