4:(Intercept),4:age_dx,4:sexM,4:smokingY,4:c_chf,4:c_ihd,4:c_cancer,4:c_dm,4:c_asthma,4:c_dementia,4:c_depression,4:c_anxiety,4:c_htn,4:rio_cat2.10-44,4:rio_cat3.45+,4:deprivationQ2,4:deprivationQ3,4:deprivationQ4,4:deprivationQ5,4:ned_c,4:nhosp_c,4:ned_o,4:nhosp_o,5:(Intercept),5:age_dx,5:sexM,5:smokingY,5:c_chf,5:c_ihd,5:c_cancer,5:c_dm,5:c_asthma,5:c_dementia,5:c_depression,5:c_anxiety,5:c_htn,5:rio_cat2.10-44,5:rio_cat3.45+,5:deprivationQ2,5:deprivationQ3,5:deprivationQ4,5:deprivationQ5,5:ned_c,5:nhosp_c,5:ned_o,5:nhosp_o,7:(Intercept),7:age_dx,7:sexM,7:smokingY,7:c_chf,7:c_ihd,7:c_cancer,7:c_dm,7:c_asthma,7:c_dementia,7:c_depression,7:c_anxiety,7:c_htn,7:rio_cat2.10-44,7:rio_cat3.45+,7:deprivationQ2,7:deprivationQ3,7:deprivationQ4,7:deprivationQ5,7:ned_c,7:nhosp_c,7:ned_o,7:nhosp_o
0.0329877,-0.0002990,-0.0004623,-0.0058341,0.0003197,0.0003892,0.0002332,-0.0004788,-0.0019919,0.0004244,-0.0022342,-0.0012543,0.0005411,-0.0013001,-0.0010480,-0.0049615,-0.0050432,-0.0049153,-0.0053154,-0.0001760,0.0003578,-0.0000163,0.0000666,0.0128477,-0.0001149,-0.0002073,-0.0024566,0.0001772,0.0001608,0.0001677,-0.0001572,-0.0009404,0.0000414,-0.0007485,-0.0005598,0.0003470,-0.0005958,-0.0004583,-0.0023339,-0.0023159,-0.0023133,-0.0024768,-0.0000453,0.0001877,-0.0000074,0.0000468,0.0138206,-0.0001247,-0.0001610,-0.0025210,0.0000980,0.0001330,0.0001932,-0.0001643,-0.0009833,-0.0001664,0.0000286,-0.0005844,0.0003481,-0.0005893,-0.0004868,-0.0024474,-0.0023955,-0.0023805,-0.0025434,-0.0000897,0.0002210,-0.0000057,0.0000256
-0.0002990,0.0000040,-0.0000009,0.0000256,-0.0000137,-0.0000077,-0.0000124,0.0000056,0.0000134,-0.0000114,0.0000273,0.0000115,-0.0000250,0.0000035,0.0000030,0.0000060,0.0000076,0.0000078,0.0000135,0.0000001,-0.0000029,0.0000002,-0.0000018,-0.0001157,0.0000016,-0.0000008,0.0000119,-0.0000061,-0.0000036,-0.0000063,0.0000016,0.0000063,-0.0000025,0.0000102,0.0000049,-0.0000115,0.0000011,0.0000000,0.0000029,0.0000031,0.0000039,0.0000061,-0.0000004,-0.0000015,0.0000001,-0.0000011,-0.0001250,0.0000017,-0.0000014,0.0000125,-0.0000054,-0.0000031,-0.0000068,0.0000016,0.0000066,-0.0000012,-0.0000003,0.0000052,-0.0000117,0.0000002,-0.0000003,0.0000039,0.0000037,0.0000043,0.0000065,0.0000000,-0.0000019,0.0000002,-0.0000010
-0.0004623,-0.0000009,0.0020582,-0.0005257,-0.0001610,-0.0001975,-0.0002225,-0.0001273,0.0002600,0.0001427,0.0000956,0.0002706,0.0001157,-0.0000083,-0.0001128,0.0000155,0.0000727,0.0001064,0.0000817,-0.0000004,0.0000058,0.0000018,-0.0000203,-0.0002453,-0.0000002,0.0008958,-0.0002176,-0.0000700,-0.0000835,-0.0000565,-0.0000716,0.0001149,0.0000758,0.0000291,0.0001147,0.0000381,-0.0000091,-0.0000582,0.0000157,0.0000542,0.0000691,0.0000569,-0.0000023,0.0000106,-0.0000004,-0.0000083,-0.0002668,0.0000000,0.0009393,-0.0002239,-0.0000666,-0.0000857,-0.0000654,-0.0000770,0.0001185,0.0000894,-0.0000004,0.0001269,0.0000379,-0.0000026,-0.0000778,0.0000051,0.0000479,0.0000532,0.0000521,-0.0000089,0.0000247,-0.0000033,-0.0000032
-0.0058341,0.0000256,-0.0005257,0.0045924,0.0004048,-0.0000361,0.0000986,0.0000041,0.0003334,0.0002159,0.0000305,-0.0000458,0.0000596,0.0000499,0.0000688,0.0001841,0.0001001,0.0000211,-0.0000277,-0.0000084,-0.0000504,0.0000063,-0.0000097,-0.0023274,0.0000102,-0.0002135,0.0019464,0.0001540,-0.0000283,-0.0000055,0.0000015,0.0001939,0.0000504,-0.0000592,0.0000029,0.0000334,0.0000317,0.0000912,0.0000391,0.0000017,-0.0000179,-0.0000382,-0.0000081,-0.0000303,0.0000014,-0.0000066,-0.0025399,0.0000123,-0.0002398,0.0019963,0.0002041,-0.0000192,0.0000125,0.0000152,0.0001748,0.0001410,-0.0000048,-0.0000088,0.0000277,-0.0000065,0.0000205,0.0000561,0.0000098,-0.0000112,-0.0000330,-0.0000055,-0.0000247,0.0000001,0.0000005
0.0003197,-0.0000137,-0.0001610,0.0004048,0.0038945,-0.0008217,0.0002095,-0.0005175,0.0000872,-0.0002367,-0.0000432,-0.0000347,-0.0002646,-0.0000023,0.0000059,0.0001228,0.0001638,0.0001196,0.0001274,0.0000403,-0.0000758,-0.0000010,-0.0000078,0.0001159,-0.0000055,-0.0000815,0.0001932,0.0020050,-0.0003882,0.0000961,-0.0002616,0.0000387,-0.0000716,-0.0000074,-0.0000264,-0.0001057,-0.0000307,-0.0000272,0.0000594,0.0000745,0.0000473,0.0000506,0.0000137,-0.0000248,-0.0000034,0.0000018,-0.0000149,-0.0000040,-0.0000907,0.0002171,0.0020491,-0.0004119,0.0000903,-0.0002616,0.0000246,-0.0000429,-0.0000001,-0.0000232,-0.0001221,-0.0000402,-0.0000397,0.0000709,0.0000957,0.0000525,0.0000690,0.0000149,-0.0000313,-0.0000046,0.0000098
0.0003892,-0.0000077,-0.0001975,-0.0000361,-0.0008217,0.0029864,0.0000171,-0.0001596,0.0000369,0.0000077,-0.0000387,-0.0000119,-0.0002647,-0.0000209,0.0000828,-0.0000608,-0.0001469,-0.0000917,-0.0001035,0.0000334,-0.0000357,-0.0000039,-0.0000501,0.0001378,-0.0000034,-0.0000859,-0.0000199,-0.0003896,0.0014266,0.0000121,-0.0000763,0.0000167,-0.0000351,0.0000245,-0.0000195,-0.0001294,-0.0000085,0.0000279,0.0000130,-0.0000282,-0.0000170,-0.0000186,0.0000224,-0.0000271,-0.0000015,-0.0000243,0.0001728,-0.0000035,-0.0000854,-0.0000219,-0.0004167,0.0014872,0.0000000,-0.0000757,0.0000206,-0.0000625,0.0000005,-0.0000128,-0.0001390,-0.0000074,0.0000330,0.0000058,-0.0000616,-0.0000329,-0.0000385,0.0000240,-0.0000407,0.0000006,-0.0000314
0.0002332,-0.0000124,-0.0002225,0.0000986,0.0002095,0.0000171,0.0039531,-0.0002800,0.0000805,0.0001229,0.0000149,-0.0002416,0.0000147,-0.0000337,0.0001082,0.0001499,0.0001774,0.0001466,0.0001566,0.0000043,-0.0000019,-0.0000018,-0.0000027,0.0000991,-0.0000056,-0.0000502,0.0000137,0.0001010,0.0000120,0.0018636,-0.0001280,0.0000386,0.0000637,-0.0000049,-0.0001149,0.0000169,-0.0000268,0.0000161,0.0000823,0.0001080,0.0000747,0.0000867,-0.0000033,-0.0000016,0.0000004,-0.0000003,0.0000800,-0.0000055,-0.0000602,0.0000202,0.0001016,0.0000059,0.0018710,-0.0001217,0.0000261,0.0000859,0.0000003,-0.0001681,0.0000232,-0.0000432,0.0000180,0.0000792,0.0001191,0.0000963,0.0000984,0.0000013,-0.0000073,-0.0000032,0.0000148
-0.0004788,0.0000056,-0.0001273,0.0000041,-0.0005175,-0.0001596,-0.0002800,0.0029223,-0.0000442,-0.0003603,0.0000028,0.0000444,-0.0004262,0.0000345,0.0000778,-0.0001537,-0.0001139,-0.0000678,-0.0001653,0.0000142,-0.0000093,-0.0000028,-0.0000325,-0.0001922,0.0000020,-0.0000774,0.0000049,-0.0002538,-0.0000752,-0.0001260,0.0013588,-0.0000359,-0.0001616,-0.0000162,0.0000114,-0.0001988,0.0000159,0.0000181,-0.0000386,-0.0000368,-0.0000094,-0.0000507,0.0000126,-0.0000052,-0.0000016,-0.0000135,-0.0002112,0.0000022,-0.0000863,0.0000313,-0.0002466,-0.0000714,-0.0001255,0.0014078,-0.0000380,-0.0001546,-0.0000009,0.0000124,-0.0002079,0.0000089,-0.0000040,-0.0000479,-0.0000452,-0.0000243,-0.0000667,0.0000032,0.0000045,-0.0000032,-0.0000106
-0.0019919,0.0000134,0.0002600,0.0003334,0.0000872,0.0000369,0.0000805,-0.0000442,0.0027014,-0.0000642,0.0000929,-0.0000936,-0.0000564,0.0000152,0.0001347,0.0000570,0.0001487,0.0000181,0.0000459,-0.0000004,-0.0000264,-0.0000174,0.0000264,-0.0009434,0.0000066,0.0001184,0.0001815,0.0000372,0.0000198,0.0000359,-0.0000316,0.0010971,-0.0000387,0.0000106,-0.0000390,-0.0000178,0.0000288,0.0000871,0.0000265,0.0000504,-0.0000089,0.0000210,-0.0000012,-0.0000200,-0.0000067,0.0000078,-0.0009855,0.0000067,0.0001221,0.0001756,0.0000389,0.0000224,0.0000342,-0.0000311,0.0011875,-0.0000170,-0.0000021,-0.0000357,-0.0000222,0.0000297,0.0000844,0.0000365,0.0000659,0.0000064,0.0000283,-0.0000001,-0.0000139,-0.0000086,0.0000084
0.0004244,-0.0000114,0.0001427,0.0002159,-0.0002367,0.0000077,0.0001229,-0.0003603,-0.0000642,0.0116699,-0.0038312,-0.0007604,-0.0001288,-0.0000260,0.0000494,-0.0001148,0.0000936,0.0000768,0.0000899,0.0000337,-0.0000702,0.0000029,0.0000394,-0.0001191,-0.0000008,0.0000589,0.0000920,-0.0000508,-0.0000395,0.0000591,-0.0001610,-0.0000564,0.0065199,-0.0021949,-0.0003633,-0.0000511,-0.0000736,-0.0000156,0.0000147,0.0001154,0.0000962,0.0000806,0.0000267,-0.0000419,-0.0000061,0.0000183,-0.0001576,-0.0000012,0.0000768,0.0001112,-0.0000442,-0.0000603,0.0000751,-0.0001655,-0.0000486,0.0068137,0.0000131,-0.0003233,-0.0000562,-0.0000346,0.0000379,0.0000369,0.0001026,0.0000892,0.0000727,0.0000170,-0.0000400,-0.0000004,0.0000069
