shape,scale,age_dx,sexM,smokingY,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o
0.00065389,-0.00327581,0.00002288,0.00013559,0.00007120,0.00006178,-0.00008548,0.00015826,-0.00000787,-0.00008632,-0.00007180,0.00007901,-0.00000634,0.00000178,-0.00001785,0.00000934,0.00005845,0.00004882,0.00009837,0.00005636,-0.00005688,0.00005934,-0.00000346,0.00003026
-0.00327581,0.14389999,-0.00131385,-0.00320664,-0.01780901,0.00079542,0.00087623,-0.00161971,-0.00270652,-0.00439230,0.00212313,-0.00694207,-0.00389274,0.00048349,-0.00380096,-0.00242954,-0.01249112,-0.01453260,-0.01372939,-0.01436430,0.00048506,-0.00072870,0.00010829,-0.00055269
0.00002288,-0.00131385,0.00001547,0.00001253,0.00009362,-0.00003547,-0.00001439,-0.00000456,0.00003286,0.00003199,-0.00004414,0.00007331,0.00003032,-0.00006531,0.00001403,0.00001150,0.00000661,0.00002744,0.00001941,0.00003279,-0.00000326,-0.00000005,-0.00000146,0.00000470
0.00013559,-0.00320664,0.00001253,0.00561071,-0.00127629,-0.00003040,-0.00070740,-0.00071496,-0.00030409,0.00075036,0.00005344,0.00012228,0.00071517,0.00045995,0.00003964,-0.00022617,-0.00003095,0.00018798,0.00030310,0.00032979,0.00002227,-0.00001208,-0.00001109,0.00000651
0.00007120,-0.01780901,0.00009362,-0.00127629,0.01183388,0.00072977,-0.00000517,0.00003833,0.00028559,0.00076737,0.00072238,0.00028138,-0.00004294,0.00000222,0.00026084,-0.00009094,0.00083339,0.00081961,0.00059557,0.00046296,-0.00000364,-0.00017401,0.00000812,0.00005503
0.00006178,0.00079542,-0.00003547,-0.00003040,0.00072977,0.00702592,-0.00165625,0.00052778,-0.00083144,0.00003462,-0.00035295,0.00009811,-0.00006061,-0.00061938,0.00014771,-0.00006032,0.00031723,0.00018623,0.00028499,0.00026868,0.00009380,-0.00012149,0.00001932,-0.00001659
-0.00008548,0.00087623,-0.00001439,-0.00070740,-0.00000517,-0.00165625,0.00657217,0.00008782,-0.00047015,-0.00008910,0.00034819,-0.00010979,-0.00005380,-0.00075428,-0.00022155,0.00014733,-0.00017563,-0.00023468,0.00001324,-0.00037872,0.00005831,-0.00000470,0.00000833,-0.00010181
0.00015826,-0.00161971,-0.00000456,-0.00071496,0.00003833,0.00052778,0.00008782,0.00740839,-0.00040041,0.00015743,0.00042857,-0.00024324,-0.00022672,-0.00012084,-0.00008618,-0.00003618,-0.00002224,0.00011512,0.00024505,0.00013873,0.00010637,0.00001271,0.00000456,-0.00000533
-0.00000787,-0.00270652,0.00003286,-0.00030409,0.00028559,-0.00083144,-0.00047015,-0.00040041,0.00684901,-0.00002781,-0.00053474,-0.00006677,0.00000159,-0.00106757,-0.00018096,-0.00017405,-0.00041871,-0.00046036,-0.00044444,-0.00034286,0.00004268,-0.00000196,-0.00002474,-0.00001099
-0.00008632,-0.00439230,0.00003199,0.00075036,0.00076737,0.00003462,-0.00008910,0.00015743,-0.00002781,0.00994229,-0.00003320,0.00041928,-0.00017293,-0.00014169,0.00003341,0.00031857,-0.00034427,0.00011376,-0.00029356,-0.00016506,-0.00015367,-0.00004044,-0.00002396,0.00005634
-0.00007180,0.00212313,-0.00004414,0.00005344,0.00072238,-0.00035295,0.00034819,0.00042857,-0.00053474,-0.00003320,0.02438066,-0.00760867,-0.00144705,-0.00049267,0.00015113,0.00002933,-0.00032906,-0.00035887,0.00010207,0.00014124,0.00010127,-0.00004074,0.00002534,0.00007093
