shape,scale,age_dx,sexM,smokingY,c_chf,c_ihd,c_cancer,c_dm,c_asthma,c_dementia,c_depression,c_anxiety,c_htn,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o
0.0005090,-0.0031110,0.0000205,0.0000685,0.0001061,0.0001393,-0.0000941,0.0001381,0.0000401,-0.0000906,0.0001180,-0.0001010,-0.0000095,0.0000162,0.0000448,0.0000052,-0.0000288,0.0000024,0.0000100,0.0000730,-0.0000030,0.0000417,-0.0000020,0.0000189
-0.0031110,0.1075642,-0.0009699,-0.0028205,-0.0116035,0.0004233,0.0012076,-0.0010194,-0.0020225,-0.0043718,0.0009032,-0.0040042,-0.0034094,-0.0002333,-0.0030713,-0.0021511,-0.0086651,-0.0094605,-0.0088846,-0.0105886,-0.0000616,0.0002471,0.0000536,-0.0006846
0.0000205,-0.0009699,0.0000113,0.0000124,0.0000690,-0.0000234,-0.0000167,-0.0000073,0.0000236,0.0000304,-0.0000237,0.0000556,0.0000229,-0.0000451,0.0000082,0.0000097,-0.0000019,0.0000112,0.0000006,0.0000197,-0.0000011,-0.0000027,-0.0000002,0.0000034
0.0000685,-0.0028205,0.0000124,0.0047592,-0.0013317,-0.0000380,-0.0005432,-0.0005139,-0.0002402,0.0006732,-0.0003619,0.0002177,0.0006008,0.0003403,-0.0000192,-0.0003280,0.0000662,0.0003921,0.0004230,0.0005746,-0.0000347,0.0000661,0.0000006,0.0000104
0.0001061,-0.0116035,0.0000690,-0.0013317,0.0077748,0.0004581,0.0000221,-0.0000248,-0.0000670,0.0004968,0.0001622,0.0000914,0.0000075,0.0000506,0.0000609,-0.0000400,0.0005977,0.0001667,0.0002261,0.0003019,0.0000771,-0.0002366,-0.0000058,0.0000252
0.0001393,0.0004233,-0.0000234,-0.0000380,0.0004581,0.0061950,-0.0015547,0.0001724,-0.0008404,0.0000484,-0.0005979,-0.0001296,0.0000517,-0.0005386,-0.0000017,0.0001080,0.0002636,0.0000975,0.0004211,0.0002060,0.0000377,-0.0002443,-0.0000009,-0.0000203
-0.0000941,0.0012076,-0.0000167,-0.0005432,0.0000221,-0.0015547,0.0056281,0.0000759,-0.0002827,-0.0001016,0.0003254,-0.0002741,-0.0000452,-0.0005896,-0.0001035,0.0000026,0.0000626,-0.0000809,0.0000103,-0.0000427,0.0000694,-0.0001877,0.0000062,-0.0000482
0.0001381,-0.0010194,-0.0000073,-0.0005139,-0.0000248,0.0001724,0.0000759,0.0057955,-0.0001412,-0.0001705,0.0000615,-0.0002654,-0.0001617,-0.0000778,0.0000817,0.0000104,0.0000628,0.0000812,0.0001689,0.0001685,0.0000997,-0.0000573,0.0000050,-0.0000124
0.0000401,-0.0020225,0.0000236,-0.0002402,-0.0000670,-0.0008404,-0.0002827,-0.0001412,0.0053079,0.0000117,-0.0000140,-0.0001352,0.0002641,-0.0009053,0.0001667,0.0000268,-0.0002836,-0.0002759,-0.0003525,-0.0003305,-0.0000078,-0.0000229,-0.0000010,-0.0000569
-0.0000906,-0.0043718,0.0000304,0.0006732,0.0004968,0.0000484,-0.0001016,-0.0001705,0.0000117,0.0092452,-0.0000577,0.0001882,-0.0002028,-0.0000158,0.0001941,0.0004341,0.0001307,0.0001873,0.0003089,0.0002367,-0.0001794,0.0000600,-0.0000132,0.0000574
